object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_descriptor_id_num,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_list_document_id_sort,object_list_document_osn_sort,object_list_document_urn_sort,object_mets_lastModDate_date,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
437760220,Methodology,urn-3:HUL.DRS.OBJECT:35013988,Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,TEXT,DOCUMENTATION,Methodology,251676,2018-03-19T21:32:03.0Z,FHCL.COLL_Methodology_20180319_172518,437760221,1,,,,,2018-03-19T21:32:03.469Z,R,,Tibetan Buddhist Resource Center,242
437920264,W00KG010083-I00KG010120,"urn-3:FHCL:35108395, urn-3:HUL.DRS.OBJECT:35108394",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW00KG010083-1,269687,2018-03-23T21:06:10.0Z,FHCL.COLL_batchW00KG010083-1_20180323_163214,437920265,168,,,,,2018-03-23T21:06:21.465Z,R,"rgyal rabs dang/ gser gyi lha shAkya mu ne bzhengs nas bod yul dbus su gdan drangs lugs dang rigs gsum mgon po'i mdzad spyod/ rgyal po srong btsan sgam po'i rnam thar bsdus pa, རྒྱལ་རབས་དང། གསེར་གྱི་ལྷ་ཤཱཀྱ་མུ་ནེ་བཞེངས་ནས་བོད་ཡུལ་དབུས་སུ་གདན་དྲངས་ལུགས་དང་རིགས་གསུམ་མགོན་པོའི་མཛད་སྤྱོད། རྒྱལ་པོ་སྲོང་བཙན་སྒམ་པོའི་རྣམ་ཐར་བསྡུས་པ་, bka' chems ka khol ma",Tibetan Buddhist Resource Center,185706185
437952808,W00CHZ0103335-I00CHZ0103338,"urn-3:FHCL:35134448, urn-3:HUL.DRS.OBJECT:35134447",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW00CHZ0103335-1,270689,2018-03-26T16:07:08.0Z,FHCL.COLL_batchW00CHZ0103335-1_20180326_104930,437952809,624,,,,,2018-03-26T16:07:49.814Z,R,"thob yig nor bu'i phreng ba, ཐོབ་ཡིག་ནོར་བུའི་ཕྲེང་བ, gsan yig/_ngag dbang kun dga' theg chen dpal 'bar",Tibetan Buddhist Resource Center,91012059
437953434,W00KG02536-I00KG03142,"urn-3:FHCL:35135074, urn-3:HUL.DRS.OBJECT:35135073",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW00KG02536-1,270690,2018-03-26T16:08:03.0Z,FHCL.COLL_batchW00KG02536-1_20180326_105317,437953435,10,,,,,2018-03-26T16:08:03.967Z,R,"las mgon zangs gri bskor gsum gyi rjes gnang gi phyag len zin bris su bkod pa, ལས་མགོན་ཟངས་གྲི་བསྐོར་གསུམ་གྱི་རྗེས་གནང་གི་ཕྱག་ལེན་ཟིན་བྲིས་སུ་བཀོད་པ་, las mgon zangs gri bskor gsum gyi rjes gnang",Tibetan Buddhist Resource Center,378854
437953446,W00EGS1016722-I01JW159,"urn-3:FHCL:35135076, urn-3:HUL.DRS.OBJECT:35135075",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW00EGS1016722-1,270691,2018-03-26T16:08:13.0Z,FHCL.COLL_batchW00EGS1016722-1_20180326_105248,437953447,318,,,,,2018-03-26T16:08:34.302Z,R,"chab mdo'i yig tshang phyogs sgrig, ཆབ་མདོའི་ཡིག་ཚང་ཕྱོགས་སྒྲིག, Chab-mdoʼi yig tshaṅ phyogs sgrig /[rtsom pa po, Rgyar-sprul Blo-bzaṅ-bstan-ʼdzin-chos-kyi-dbaṅ-phyug ... (et al.)]",Tibetan Buddhist Resource Center,20967369
437953766,W00EGS1016722-I01JW160,"urn-3:FHCL:35135396, urn-3:HUL.DRS.OBJECT:35135395",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW00EGS1016722-1,270691,2018-03-26T16:08:13.0Z,FHCL.COLL_batchW00EGS1016722-1_20180326_105248,437953767,334,,,,,2018-03-26T16:09:03.931Z,R,"chab mdo'i yig tshang phyogs sgrig, ཆབ་མདོའི་ཡིག་ཚང་ཕྱོགས་སྒྲིག, Chab-mdoʼi yig tshaṅ phyogs sgrig /[rtsom pa po, Rgyar-sprul Blo-bzaṅ-bstan-ʼdzin-chos-kyi-dbaṅ-phyug ... (et al.)]",Tibetan Buddhist Resource Center,22028964
437954102,W00EGS1016722-I01JW161,"urn-3:FHCL:35135744, urn-3:HUL.DRS.OBJECT:35135743",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW00EGS1016722-1,270691,2018-03-26T16:08:13.0Z,FHCL.COLL_batchW00EGS1016722-1_20180326_105248,437954103,212,,,,,2018-03-26T16:09:24.851Z,R,"chab mdo'i yig tshang phyogs sgrig, ཆབ་མདོའི་ཡིག་ཚང་ཕྱོགས་སྒྲིག, Chab-mdoʼi yig tshaṅ phyogs sgrig /[rtsom pa po, Rgyar-sprul Blo-bzaṅ-bstan-ʼdzin-chos-kyi-dbaṅ-phyug ... (et al.)]",Tibetan Buddhist Resource Center,8400087
437954316,W00KG02538-I00KG03146,"urn-3:FHCL:35135732, urn-3:HUL.DRS.OBJECT:35135731",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW00KG02538-1,270693,2018-03-26T16:09:01.0Z,FHCL.COLL_batchW00KG02538-1_20180326_105405,437954317,10,,,,,2018-03-26T16:09:03.324Z,R,"rdo rje brag rdzong gi nang khrid zab mo, རྡོ་རྗེ་བྲག་རྫོང་གི་ནང་ཁྲིད་ཟབ་མོ",Tibetan Buddhist Resource Center,323550
437954326,W00KG02539-I00KG03148,"urn-3:FHCL:35135734, urn-3:HUL.DRS.OBJECT:35135733",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW00KG02539-1,270692,2018-03-26T16:09:01.0Z,FHCL.COLL_batchW00KG02539-1_20180326_105423,437954327,10,,,,,2018-03-26T16:09:03.231Z,R,"gsang ba'i brag rdzong ma sems nyid ye shes kyi rtsal 'don, གསང་བའི་བྲག་རྫོང་མ་སེམས་ཉིད་ཡེ་ཤེས་ཀྱི་རྩལ་འདོན",Tibetan Buddhist Resource Center,328082
437954340,W00KG02537-I00KG03144,"urn-3:FHCL:35135736, urn-3:HUL.DRS.OBJECT:35135735",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW00KG02537-1,270694,2018-03-26T16:09:02.0Z,FHCL.COLL_batchW00KG02537-1_20180326_105348,437954341,78,,,,,2018-03-26T16:09:08.568Z,R,"phyi bsrung ba'i 'khor lo la brten nas bsgrub pa phyi'i brag rdzong ma'i khrid kyi yi ge 'dod dgu'i dpal ster, ཕྱི་བསྲུང་བའི་འཁོར་ལོ་ལ་བརྟེན་ནས་བསྒྲུབ་པ་ཕྱིའི་བྲག་རྫོང་མའི་ཁྲིད་ཀྱི་ཡི་གེ་འདོད་དགུའི་དཔལ་སྟེར, brag rdzong ma'i khrid kyi yi ge",Tibetan Buddhist Resource Center,3582646
