object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
445552194,W1AC5-I4PD4467,"urn-3:FHCL:37123240, urn-3:HUL.DRS.OBJECT:37123239",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC5-1n,475718,2018-06-19T12:56:06.0Z,FHCL.COLL_batchW1AC5-1n_20180618_185941,184,,R,"zhi byed pa'i grub mtha' spyi bshad, ཞི་བྱེད་པའི་གྲུབ་མཐའ་སྤྱི་བཤད།, 西藏宗教历史文化之希杰派, xi zang zong jiao li shi wen hua zhi xi jie pai, zhibyedpa school",Tibetan Buddhist Resource Center,13554862
445552380,W1AC50-I2PD18743,"urn-3:FHCL:37123245, urn-3:HUL.DRS.OBJECT:37123242",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC50-1n,475720,2018-06-19T12:57:07.0Z,FHCL.COLL_batchW1AC50-1n_20180618_190058,252,,R,"bstan bcos mngon rtogs rgyan tshig don gyi sgo nas bshad pa byams mgon zhal lung, བསྟན་བཅོས་མངོན་རྟོགས་རྒྱན་ཚིག་དོན་གྱི་སྒོ་ནས་བཤད་པ་བྱམས་མགོན་ཞལ་ལུང་།",Tibetan Buddhist Resource Center,15763704
445552630,W1FPL1063-I1FPL1063,"urn-3:FHCL:37123244, urn-3:HUL.DRS.OBJECT:37123241",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1063-1n,475719,2018-06-19T12:57:07.0Z,FHCL.COLL_batchW1FPL1063-1n_20180618_142726,189,,R,ṭīkā-kyō nissya,Tibetan Buddhist Resource Center,70389128
445552694,W1FPL1062-I1FPL1062,"urn-3:FHCL:37123246, urn-3:HUL.DRS.OBJECT:37123243",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1062-1n,475721,2018-06-19T12:57:07.0Z,FHCL.COLL_batchW1FPL1062-1n_20180618_142601,209,,R,aṭhasāliṇī aṭhakathā,Tibetan Buddhist Resource Center,66807171
445553036,W1AC257-I2PD18731,"urn-3:FHCL:37123248, urn-3:HUL.DRS.OBJECT:37123247",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC257-1n,475722,2018-06-19T12:58:08.0Z,FHCL.COLL_batchW1AC257-1n_20180618_153630,138,,R,"sngags yig klog stangs, སྔགས་ཡིག་ཀློག་སྟངས།, 咒文读法, zhou wen du fa",Tibetan Buddhist Resource Center,7789948
445553176,W1FPL1064-I1FPL1064,"urn-3:FHCL:37123250, urn-3:HUL.DRS.OBJECT:37123249",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1064-1n,475723,2018-06-19T12:58:10.0Z,FHCL.COLL_batchW1FPL1064-1n_20180618_142905,227,,R,nippanna mahā aṭṭhakathā,Tibetan Buddhist Resource Center,77610872
445553405,W1AC256-I2PD18111,"urn-3:FHCL:37123252, urn-3:HUL.DRS.OBJECT:37123251",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC256-1n,475724,2018-06-19T12:58:13.0Z,FHCL.COLL_batchW1AC256-1n_20180618_153534,570,,R,"bod kyi gso rig las lus 'tsho bde srung skor gyi rgyun mkho phyogs bsgrigs, བོད་ཀྱི་གསོ་རིག་ལས་ལུས་འཚོ་བདེ་སྲུང་སྐོར་གྱི་རྒྱུན་མཁོ་ཕྱོགས་བསྒྲིགས།, 常用藏医养生保健荟萃, chang yong zang yi yang sheng bao jian hui cui",Tibetan Buddhist Resource Center,38395834
445553977,W1FPL1065-I1FPL1065,"urn-3:FHCL:37123256, urn-3:HUL.DRS.OBJECT:37123255",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1065-1n,475726,2018-06-19T12:59:04.0Z,FHCL.COLL_batchW1FPL1065-1n_20180618_143023,155,,R,dhātukathā nissya*--bhikkhupātimoṃ pāṭh--pātimoṃ nissya,Tibetan Buddhist Resource Center,57710445
445553997,W1FPL1066-I1FPL1066,"urn-3:FHCL:37123254, urn-3:HUL.DRS.OBJECT:37123253",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1066-1n,475725,2018-06-19T12:59:04.0Z,FHCL.COLL_batchW1FPL1066-1n_20180618_143129,122,,R,anumodanālaṅkāra tarā:-cā,Tibetan Buddhist Resource Center,40146483
445554258,W1AC259-I4PD4211,"urn-3:FHCL:37123258, urn-3:HUL.DRS.OBJECT:37123257",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC259-1n,475727,2018-06-19T12:59:06.0Z,FHCL.COLL_batchW1AC259-1n_20180618_153754,278,,R,"slob dpon dbyug pa can gyis mdzad pa'i snyan ngag me long zhes bya ba skad gnyis shan sbyar dang snyan ngag gi dper brjod gsar bu dgyes pa'i rol mo, སློབ་དཔོན་དབྱུག་པ་ཅན་གྱིས་མཛད་པའི་སྙན་ངག་མེ་ལོང་ཞེས་བྱ་བ་སྐད་གཉིས་ཤན་སྦྱར་དང་སྙན་ངག་གི་དཔེར་བརྗོད་གསར་བུ་དགྱེས་པའི་རོལ་མོ།, snyan ngag me long ma skad gnyis shan sbyar dang dper brjod, 藏梵语诗学明镜-四川民族学院藏文辅助教材, zang fan yu shi min jing－si chuan min zu xue yuan zang wen fu zhu jiao cai",Tibetan Buddhist Resource Center,16154545
