object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,object_mets_createDate_date,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
437759956,Agreement,urn-3:HUL.DRS.OBJECT:35013885,,FHCL.COLL,FHCL.COLL.TBRC_0001,DOCUMENT,2018-03-19T20:21:02.964Z,DONOR_AGREEMENT,2018-03-19T20:18:16.186Z,1,,R,,,954276
437759959,License,urn-3:HUL.DRS.OBJECT:35013887,,FHCL.COLL,FHCL.COLL.TBRC_0001,DOCUMENT,2018-03-19T20:21:03.756Z,LICENSE,2018-03-19T20:18:17.291Z,1,,R,,,114022
437760220,Methodology,urn-3:HUL.DRS.OBJECT:35013988,Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,TEXT,2018-03-19T21:32:03.190Z,DOCUMENTATION,2018-03-19T21:25:17.958Z,1,,R,,Tibetan Buddhist Resource Center,242
437760223,Documentation,urn-3:HUL.DRS.OBJECT:35013990,,FHCL.COLL,FHCL.COLL.TBRC_0001,DOCUMENT,2018-03-19T22:00:00.444Z,,2018-03-19T21:58:06.739Z,1,,R,,,13466
437920264,W00KG010083-I00KG010120,"urn-3:FHCL:35108395, urn-3:HUL.DRS.OBJECT:35108394",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-03-23T21:06:10.473Z,,2018-03-23T20:31:50.702Z,168,,R,"rgyal rabs dang/ gser gyi lha shAkya mu ne bzhengs nas bod yul dbus su gdan drangs lugs dang rigs gsum mgon po'i mdzad spyod/ rgyal po srong btsan sgam po'i rnam thar bsdus pa, རྒྱལ་རབས་དང། གསེར་གྱི་ལྷ་ཤཱཀྱ་མུ་ནེ་བཞེངས་ནས་བོད་ཡུལ་དབུས་སུ་གདན་དྲངས་ལུགས་དང་རིགས་གསུམ་མགོན་པོའི་མཛད་སྤྱོད། རྒྱལ་པོ་སྲོང་བཙན་སྒམ་པོའི་རྣམ་ཐར་བསྡུས་པ་, bka' chems ka khol ma",Tibetan Buddhist Resource Center,185706185
437952808,W00CHZ0103335-I00CHZ0103338,"urn-3:FHCL:35134448, urn-3:HUL.DRS.OBJECT:35134447",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-03-26T16:07:09.721Z,,2018-03-26T14:48:07.273Z,624,,R,"thob yig nor bu'i phreng ba, ཐོབ་ཡིག་ནོར་བུའི་ཕྲེང་བ, gsan yig/_ngag dbang kun dga' theg chen dpal 'bar",Tibetan Buddhist Resource Center,91012059
437953434,W00KG02536-I00KG03142,"urn-3:FHCL:35135074, urn-3:HUL.DRS.OBJECT:35135073",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-03-26T16:08:03.446Z,,2018-03-26T14:53:14.755Z,10,,R,"las mgon zangs gri bskor gsum gyi rjes gnang gi phyag len zin bris su bkod pa, ལས་མགོན་ཟངས་གྲི་བསྐོར་གསུམ་གྱི་རྗེས་གནང་གི་ཕྱག་ལེན་ཟིན་བྲིས་སུ་བཀོད་པ་, las mgon zangs gri bskor gsum gyi rjes gnang",Tibetan Buddhist Resource Center,378854
437953446,W00EGS1016722-I01JW159,"urn-3:FHCL:35135076, urn-3:HUL.DRS.OBJECT:35135075",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-03-26T16:08:12.822Z,,2018-03-26T14:50:57.652Z,318,,R,"chab mdo'i yig tshang phyogs sgrig, ཆབ་མདོའི་ཡིག་ཚང་ཕྱོགས་སྒྲིག, Chab-mdoʼi yig tshaṅ phyogs sgrig /[rtsom pa po, Rgyar-sprul Blo-bzaṅ-bstan-ʼdzin-chos-kyi-dbaṅ-phyug ... (et al.)]",Tibetan Buddhist Resource Center,20967369
437953766,W00EGS1016722-I01JW160,"urn-3:FHCL:35135396, urn-3:HUL.DRS.OBJECT:35135395",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-03-26T16:08:36.354Z,,2018-03-26T14:51:40.255Z,334,,R,"chab mdo'i yig tshang phyogs sgrig, ཆབ་མདོའི་ཡིག་ཚང་ཕྱོགས་སྒྲིག, Chab-mdoʼi yig tshaṅ phyogs sgrig /[rtsom pa po, Rgyar-sprul Blo-bzaṅ-bstan-ʼdzin-chos-kyi-dbaṅ-phyug ... (et al.)]",Tibetan Buddhist Resource Center,22028964
437954102,W00EGS1016722-I01JW161,"urn-3:FHCL:35135744, urn-3:HUL.DRS.OBJECT:35135743",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-03-26T16:09:05.713Z,,2018-03-26T14:52:22.533Z,212,,R,"chab mdo'i yig tshang phyogs sgrig, ཆབ་མདོའི་ཡིག་ཚང་ཕྱོགས་སྒྲིག, Chab-mdoʼi yig tshaṅ phyogs sgrig /[rtsom pa po, Rgyar-sprul Blo-bzaṅ-bstan-ʼdzin-chos-kyi-dbaṅ-phyug ... (et al.)]",Tibetan Buddhist Resource Center,8400087
