object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
455653119,W3PD183-I2PD18075,"urn-3:FHCL:37400456, urn-3:HUL.DRS.OBJECT:37400455",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-10T19:25:05.87Z,,batchW3PD183-2-dc,558704,2018-08-10T19:25:03.0Z,FHCL.COLL_batchW3PD183-2-dc_20180730_035259,368,,R,"snga 'gyur smin gling dpe tshogs, 吾金曲扎文集、大译师达玛尔西日文集、法王白玛久美江措文集、法王德达林巴文集, wu jin qu zha wen ji、da yi shi dan ma r xi ri wen ji 、fa wang bai mia jiu mei jiang cuo wen ji、fa wan de da lin ba wen ji, སྔ་འགྱུར་སྨིན་གླིང་དཔེ་ཚོགས།",Tibetan Buddhist Resource Center,27119638
455653519,W3PD1002-I3PD1040,"urn-3:FHCL:37400460, urn-3:HUL.DRS.OBJECT:37400459",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-10T19:25:36.961Z,,batchW3PD1002-2-18,558705,2018-08-10T19:25:36.0Z,FHCL.COLL_batchW3PD1002-2-18_20180729_211938,730,,R,"gsung 'bum/_mkhyen brtse'i dbang po, bka' babs bdun ldan kun gzigs 'jam dbyangs mkhyen brtse'i dbang po kun dga' bstan pa'i rgyal mtshan dpal bzang po'i bka' 'bum, 'jam dbyangs mkhyen brtse'i dbang po'i bka' 'bum, གསུང་འབུམ། མཁྱེན་བརྩེའི་དབང་པོ།",Tibetan Buddhist Resource Center,155231307
455654799,W3PD433-I3PD463,"urn-3:FHCL:37400464, urn-3:HUL.DRS.OBJECT:37400463",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-10T19:26:02.499Z,,batchW3PD433-1-0f,558706,2018-08-10T19:26:02.0Z,FHCL.COLL_batchW3PD433-1-0f_20180729_012915,1104,,R,"dag snang rgya can skor, rgyal dbang lnga pa'i dag snang rgya can skor, དག་སྣང་རྒྱ་ཅན་སྐོར།",Tibetan Buddhist Resource Center,148835151
455656117,W3PD183-I2PD18079,"urn-3:FHCL:37400458, urn-3:HUL.DRS.OBJECT:37400457",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-10T19:25:26.895Z,,batchW3PD183-2-dc,558704,2018-08-10T19:25:03.0Z,FHCL.COLL_batchW3PD183-2-dc_20180730_035259,368,,R,"snga 'gyur smin gling dpe tshogs, 吾金曲扎文集、大译师达玛尔西日文集、法王白玛久美江措文集、法王德达林巴文集, wu jin qu zha wen ji、da yi shi dan ma r xi ri wen ji 、fa wang bai mia jiu mei jiang cuo wen ji、fa wan de da lin ba wen ji, སྔ་འགྱུར་སྨིན་གླིང་དཔེ་ཚོགས།",Tibetan Buddhist Resource Center,25991324
455656593,W3PD183-I2PD18082,"urn-3:FHCL:37400462, urn-3:HUL.DRS.OBJECT:37400461",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-10T19:25:51.287Z,,batchW3PD183-2-dc,558704,2018-08-10T19:25:03.0Z,FHCL.COLL_batchW3PD183-2-dc_20180730_035259,264,,R,"snga 'gyur smin gling dpe tshogs, 吾金曲扎文集、大译师达玛尔西日文集、法王白玛久美江措文集、法王德达林巴文集, wu jin qu zha wen ji、da yi shi dan ma r xi ri wen ji 、fa wang bai mia jiu mei jiang cuo wen ji、fa wan de da lin ba wen ji, སྔ་འགྱུར་སྨིན་གླིང་དཔེ་ཚོགས།",Tibetan Buddhist Resource Center,18097768
455657035,W3PD1002-I3PD1044,"urn-3:FHCL:37400468, urn-3:HUL.DRS.OBJECT:37400467",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-10T19:26:26.360Z,,batchW3PD1002-2-18,558705,2018-08-10T19:25:36.0Z,FHCL.COLL_batchW3PD1002-2-18_20180729_211938,538,,R,"gsung 'bum/_mkhyen brtse'i dbang po, bka' babs bdun ldan kun gzigs 'jam dbyangs mkhyen brtse'i dbang po kun dga' bstan pa'i rgyal mtshan dpal bzang po'i bka' 'bum, 'jam dbyangs mkhyen brtse'i dbang po'i bka' 'bum, གསུང་འབུམ། མཁྱེན་བརྩེའི་དབང་པོ།",Tibetan Buddhist Resource Center,106937527
455657925,W3PD183-I2PD18086,"urn-3:FHCL:37400466, urn-3:HUL.DRS.OBJECT:37400465",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-10T19:26:10.470Z,,batchW3PD183-2-dc,558704,2018-08-10T19:25:03.0Z,FHCL.COLL_batchW3PD183-2-dc_20180730_035259,436,,R,"snga 'gyur smin gling dpe tshogs, 吾金曲扎文集、大译师达玛尔西日文集、法王白玛久美江措文集、法王德达林巴文集, wu jin qu zha wen ji、da yi shi dan ma r xi ri wen ji 、fa wang bai mia jiu mei jiang cuo wen ji、fa wan de da lin ba wen ji, སྔ་འགྱུར་སྨིན་གླིང་དཔེ་ཚོགས།",Tibetan Buddhist Resource Center,30633597
455658363,W3PD433-I3PD464,"urn-3:FHCL:37400474, urn-3:HUL.DRS.OBJECT:37400473",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-10T19:27:06.210Z,,batchW3PD433-1-0f,558706,2018-08-10T19:26:02.0Z,FHCL.COLL_batchW3PD433-1-0f_20180729_012915,976,,R,"dag snang rgya can skor, rgyal dbang lnga pa'i dag snang rgya can skor, དག་སྣང་རྒྱ་ཅན་སྐོར།",Tibetan Buddhist Resource Center,128088378
455659341,W3PD1002-I3PD1051,"urn-3:FHCL:37400472, urn-3:HUL.DRS.OBJECT:37400471",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-10T19:27:05.39Z,,batchW3PD1002-2-18,558705,2018-08-10T19:25:36.0Z,FHCL.COLL_batchW3PD1002-2-18_20180729_211938,642,,R,"gsung 'bum/_mkhyen brtse'i dbang po, bka' babs bdun ldan kun gzigs 'jam dbyangs mkhyen brtse'i dbang po kun dga' bstan pa'i rgyal mtshan dpal bzang po'i bka' 'bum, 'jam dbyangs mkhyen brtse'i dbang po'i bka' 'bum, གསུང་འབུམ། མཁྱེན་བརྩེའི་དབང་པོ།",Tibetan Buddhist Resource Center,121472277
455659631,W3PD183-I2PD18093,"urn-3:FHCL:37400470, urn-3:HUL.DRS.OBJECT:37400469",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-10T19:26:36.221Z,,batchW3PD183-2-dc,558704,2018-08-10T19:25:03.0Z,FHCL.COLL_batchW3PD183-2-dc_20180730_035259,348,,R,"snga 'gyur smin gling dpe tshogs, 吾金曲扎文集、大译师达玛尔西日文集、法王白玛久美江措文集、法王德达林巴文集, wu jin qu zha wen ji、da yi shi dan ma r xi ri wen ji 、fa wang bai mia jiu mei jiang cuo wen ji、fa wan de da lin ba wen ji, སྔ་འགྱུར་སྨིན་གླིང་དཔེ་ཚོགས།",Tibetan Buddhist Resource Center,24296537
