object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
455847435,W3PD988-I3PD1264,"urn-3:FHCL:37400989, urn-3:HUL.DRS.OBJECT:37400988",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-11T00:00:08.718Z,,batchW3PD988-4-21,558757,2018-08-10T23:56:46.0Z,FHCL.COLL_batchW3PD988-4-21_20180729_050911,588,,R,"khams sde dge rdzong sar bla ma lha khang du bzhugs pa'i dpe rnying, ཁམས་སྡེ་དགེ་རྫོང་སར་བླ་མ་ལྷ་ཁང་དུ་བཞུགས་པའི་དཔེ་རྙིང་།",Tibetan Buddhist Resource Center,171514330
455848025,W3PD988-I3PD1282,"urn-3:FHCL:37400991, urn-3:HUL.DRS.OBJECT:37400990",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-11T00:00:48.534Z,,batchW3PD988-4-21,558757,2018-08-10T23:56:46.0Z,FHCL.COLL_batchW3PD988-4-21_20180729_050911,712,,R,"khams sde dge rdzong sar bla ma lha khang du bzhugs pa'i dpe rnying, ཁམས་སྡེ་དགེ་རྫོང་སར་བླ་མ་ལྷ་ཁང་དུ་བཞུགས་པའི་དཔེ་རྙིང་།",Tibetan Buddhist Resource Center,203524674
455848739,W3PD988-I3PD1289,"urn-3:FHCL:37400993, urn-3:HUL.DRS.OBJECT:37400992",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-11T00:01:32.440Z,,batchW3PD988-4-21,558757,2018-08-10T23:56:46.0Z,FHCL.COLL_batchW3PD988-4-21_20180729_050911,576,,R,"khams sde dge rdzong sar bla ma lha khang du bzhugs pa'i dpe rnying, ཁམས་སྡེ་དགེ་རྫོང་སར་བླ་མ་ལྷ་ཁང་དུ་བཞུགས་པའི་དཔེ་རྙིང་།",Tibetan Buddhist Resource Center,138889369
455849317,W3PD988-I3PD1296,"urn-3:FHCL:37400995, urn-3:HUL.DRS.OBJECT:37400994",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-11T00:02:11.89Z,,batchW3PD988-4-21,558757,2018-08-10T23:56:46.0Z,FHCL.COLL_batchW3PD988-4-21_20180729_050911,672,,R,"khams sde dge rdzong sar bla ma lha khang du bzhugs pa'i dpe rnying, ཁམས་སྡེ་དགེ་རྫོང་སར་བླ་མ་ལྷ་ཁང་དུ་བཞུགས་པའི་དཔེ་རྙིང་།",Tibetan Buddhist Resource Center,158576262
455849991,W3PD988-I3PD1321,"urn-3:FHCL:37400997, urn-3:HUL.DRS.OBJECT:37400996",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-11T00:02:53.238Z,,batchW3PD988-4-21,558757,2018-08-10T23:56:46.0Z,FHCL.COLL_batchW3PD988-4-21_20180729_050911,598,,R,"khams sde dge rdzong sar bla ma lha khang du bzhugs pa'i dpe rnying, ཁམས་སྡེ་དགེ་རྫོང་སར་བླ་མ་ལྷ་ཁང་དུ་བཞུགས་པའི་དཔེ་རྙིང་།",Tibetan Buddhist Resource Center,162090088
455850591,W3PD988-I3PD1328,"urn-3:FHCL:37400999, urn-3:HUL.DRS.OBJECT:37400998",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-11T00:03:32.587Z,,batchW3PD988-4-21,558757,2018-08-10T23:56:46.0Z,FHCL.COLL_batchW3PD988-4-21_20180729_050911,120,,R,"khams sde dge rdzong sar bla ma lha khang du bzhugs pa'i dpe rnying, ཁམས་སྡེ་དགེ་རྫོང་སར་བླ་མ་ལྷ་ཁང་དུ་བཞུགས་པའི་དཔེ་རྙིང་།",Tibetan Buddhist Resource Center,29832626
455850713,W3PD988-I3PD1346,"urn-3:FHCL:37401001, urn-3:HUL.DRS.OBJECT:37401000",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-11T00:03:46.612Z,,batchW3PD988-4-21,558757,2018-08-10T23:56:46.0Z,FHCL.COLL_batchW3PD988-4-21_20180729_050911,472,,R,"khams sde dge rdzong sar bla ma lha khang du bzhugs pa'i dpe rnying, ཁམས་སྡེ་དགེ་རྫོང་སར་བླ་མ་ལྷ་ཁང་དུ་བཞུགས་པའི་དཔེ་རྙིང་།",Tibetan Buddhist Resource Center,161040393
455851187,W3PD988-I3PD1353,"urn-3:FHCL:37401003, urn-3:HUL.DRS.OBJECT:37401002",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-11T00:04:14.767Z,,batchW3PD988-4-21,558757,2018-08-10T23:56:46.0Z,FHCL.COLL_batchW3PD988-4-21_20180729_050911,492,,R,"khams sde dge rdzong sar bla ma lha khang du bzhugs pa'i dpe rnying, ཁམས་སྡེ་དགེ་རྫོང་སར་བླ་མ་ལྷ་ཁང་དུ་བཞུགས་པའི་དཔེ་རྙིང་།",Tibetan Buddhist Resource Center,130621858
455851681,W3PD988-I3PD1360,"urn-3:FHCL:37401005, urn-3:HUL.DRS.OBJECT:37401004",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-11T00:04:45.700Z,,batchW3PD988-4-21,558757,2018-08-10T23:56:46.0Z,FHCL.COLL_batchW3PD988-4-21_20180729_050911,938,,R,"khams sde dge rdzong sar bla ma lha khang du bzhugs pa'i dpe rnying, ཁམས་སྡེ་དགེ་རྫོང་སར་བླ་མ་ལྷ་ཁང་དུ་བཞུགས་པའི་དཔེ་རྙིང་།",Tibetan Buddhist Resource Center,188035676
455852621,W3PD988-I3PD1378,"urn-3:FHCL:37401007, urn-3:HUL.DRS.OBJECT:37401006",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-11T00:05:38.495Z,,batchW3PD988-4-21,558757,2018-08-10T23:56:46.0Z,FHCL.COLL_batchW3PD988-4-21_20180729_050911,694,,R,"khams sde dge rdzong sar bla ma lha khang du bzhugs pa'i dpe rnying, ཁམས་སྡེ་དགེ་རྫོང་སར་བླ་མ་ལྷ་ཁང་དུ་བཞུགས་པའི་དཔེ་རྙིང་།",Tibetan Buddhist Resource Center,193100397
