object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
447210606,W30532-6369,"urn-3:FHCL:37160874, urn-3:HUL.DRS.OBJECT:37160873",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-27T17:10:16.436Z,,batchW30532-2n,496723,2018-06-27T17:10:14.0Z,FHCL.COLL_batchW30532-2n_20180622_043514,770,,R,"bka' 'gyur/ (sde dge/), བཀའ་འགྱུར། ༼སྡེ་དགེ།༽",Tibetan Buddhist Resource Center,24241342
447211378,W30532-6370,"urn-3:FHCL:37160876, urn-3:HUL.DRS.OBJECT:37160875",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-27T17:10:52.864Z,,batchW30532-2n,496723,2018-06-27T17:10:14.0Z,FHCL.COLL_batchW30532-2n_20180622_043514,770,,R,"bka' 'gyur/ (sde dge/), བཀའ་འགྱུར། ༼སྡེ་དགེ།༽",Tibetan Buddhist Resource Center,24241342
447212150,W30532-6371,"urn-3:FHCL:37160878, urn-3:HUL.DRS.OBJECT:37160877",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-27T17:11:38.673Z,,batchW30532-2n,496723,2018-06-27T17:10:14.0Z,FHCL.COLL_batchW30532-2n_20180622_043514,770,,R,"bka' 'gyur/ (sde dge/), བཀའ་འགྱུར། ༼སྡེ་དགེ།༽",Tibetan Buddhist Resource Center,24241342
447212922,W30532-6372,"urn-3:FHCL:37160880, urn-3:HUL.DRS.OBJECT:37160879",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-27T17:12:24.802Z,,batchW30532-2n,496723,2018-06-27T17:10:14.0Z,FHCL.COLL_batchW30532-2n_20180622_043514,770,,R,"bka' 'gyur/ (sde dge/), བཀའ་འགྱུར། ༼སྡེ་དགེ།༽",Tibetan Buddhist Resource Center,24241342
447213694,W30532-6373,"urn-3:FHCL:37160882, urn-3:HUL.DRS.OBJECT:37160881",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-27T17:13:11.242Z,,batchW30532-2n,496723,2018-06-27T17:10:14.0Z,FHCL.COLL_batchW30532-2n_20180622_043514,770,,R,"bka' 'gyur/ (sde dge/), བཀའ་འགྱུར། ༼སྡེ་དགེ།༽",Tibetan Buddhist Resource Center,24241342
447214466,W30532-6374,"urn-3:FHCL:37160884, urn-3:HUL.DRS.OBJECT:37160883",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-27T17:13:58.778Z,,batchW30532-2n,496723,2018-06-27T17:10:14.0Z,FHCL.COLL_batchW30532-2n_20180622_043514,770,,R,"bka' 'gyur/ (sde dge/), བཀའ་འགྱུར། ༼སྡེ་དགེ།༽",Tibetan Buddhist Resource Center,24241342
447215238,W30532-6375,"urn-3:FHCL:37160886, urn-3:HUL.DRS.OBJECT:37160885",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-27T17:14:46.206Z,,batchW30532-2n,496723,2018-06-27T17:10:14.0Z,FHCL.COLL_batchW30532-2n_20180622_043514,770,,R,"bka' 'gyur/ (sde dge/), བཀའ་འགྱུར། ༼སྡེ་དགེ།༽",Tibetan Buddhist Resource Center,24241342
447216010,W30532-6376,"urn-3:FHCL:37160888, urn-3:HUL.DRS.OBJECT:37160887",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-27T17:15:36.307Z,,batchW30532-2n,496723,2018-06-27T17:10:14.0Z,FHCL.COLL_batchW30532-2n_20180622_043514,770,,R,"bka' 'gyur/ (sde dge/), བཀའ་འགྱུར། ༼སྡེ་དགེ།༽",Tibetan Buddhist Resource Center,24241342
447216782,W30532-6377,"urn-3:FHCL:37160890, urn-3:HUL.DRS.OBJECT:37160889",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-27T17:16:25.785Z,,batchW30532-2n,496723,2018-06-27T17:10:14.0Z,FHCL.COLL_batchW30532-2n_20180622_043514,770,,R,"bka' 'gyur/ (sde dge/), བཀའ་འགྱུར། ༼སྡེ་དགེ།༽",Tibetan Buddhist Resource Center,24241342
447217554,W30532-6378,"urn-3:FHCL:37160892, urn-3:HUL.DRS.OBJECT:37160891",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-27T17:17:15.579Z,,batchW30532-2n,496723,2018-06-27T17:10:14.0Z,FHCL.COLL_batchW30532-2n_20180622_043514,770,,R,"bka' 'gyur/ (sde dge/), བཀའ་འགྱུར། ༼སྡེ་དགེ།༽",Tibetan Buddhist Resource Center,24241342
