object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
447667469,W1KG16583-I2PD17692,"urn-3:FHCL:37173481, urn-3:HUL.DRS.OBJECT:37173480",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-29T20:14:27.946Z,,batchW1KG16583-1n,498698,2018-06-29T20:14:26.0Z,FHCL.COLL_batchW1KG16583-1n_20180627_125940,520,,R,"rme sprul bstan 'dzin rgya mtsho'i gsung rtsom, རྨེ་སྤྲུལ་བསྟན་འཛིན་རྒྱ་མཚོའི་གསུང་རྩོམ།, 美智丹曾加措文集, mei zhi dan zen jia cuo wen ji",Tibetan Buddhist Resource Center,14811441
447667991,W1KG16583-I2PD17693,"urn-3:FHCL:37173483, urn-3:HUL.DRS.OBJECT:37173482",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-29T20:14:56.230Z,,batchW1KG16583-1n,498698,2018-06-29T20:14:26.0Z,FHCL.COLL_batchW1KG16583-1n_20180627_125940,520,,R,"rme sprul bstan 'dzin rgya mtsho'i gsung rtsom, རྨེ་སྤྲུལ་བསྟན་འཛིན་རྒྱ་མཚོའི་གསུང་རྩོམ།, 美智丹曾加措文集, mei zhi dan zen jia cuo wen ji",Tibetan Buddhist Resource Center,14811441
447668513,W1KG16583-I2PD17694,"urn-3:FHCL:37173485, urn-3:HUL.DRS.OBJECT:37173484",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-29T20:15:32.533Z,,batchW1KG16583-1n,498698,2018-06-29T20:14:26.0Z,FHCL.COLL_batchW1KG16583-1n_20180627_125940,520,,R,"rme sprul bstan 'dzin rgya mtsho'i gsung rtsom, རྨེ་སྤྲུལ་བསྟན་འཛིན་རྒྱ་མཚོའི་གསུང་རྩོམ།, 美智丹曾加措文集, mei zhi dan zen jia cuo wen ji",Tibetan Buddhist Resource Center,14811441
447669035,W1KG16583-I2PD17695,"urn-3:FHCL:37173487, urn-3:HUL.DRS.OBJECT:37173486",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-29T20:16:10.293Z,,batchW1KG16583-1n,498698,2018-06-29T20:14:26.0Z,FHCL.COLL_batchW1KG16583-1n_20180627_125940,520,,R,"rme sprul bstan 'dzin rgya mtsho'i gsung rtsom, རྨེ་སྤྲུལ་བསྟན་འཛིན་རྒྱ་མཚོའི་གསུང་རྩོམ།, 美智丹曾加措文集, mei zhi dan zen jia cuo wen ji",Tibetan Buddhist Resource Center,14811441
447669557,W1KG16583-I2PD17696,"urn-3:FHCL:37173489, urn-3:HUL.DRS.OBJECT:37173488",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-29T20:16:47.306Z,,batchW1KG16583-1n,498698,2018-06-29T20:14:26.0Z,FHCL.COLL_batchW1KG16583-1n_20180627_125940,520,,R,"rme sprul bstan 'dzin rgya mtsho'i gsung rtsom, རྨེ་སྤྲུལ་བསྟན་འཛིན་རྒྱ་མཚོའི་གསུང་རྩོམ།, 美智丹曾加措文集, mei zhi dan zen jia cuo wen ji",Tibetan Buddhist Resource Center,14811441
447672665,W1KG16593-I2PD18185,"urn-3:FHCL:37174748, urn-3:HUL.DRS.OBJECT:37174747",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-29T20:55:09.985Z,,batchW1KG16593-1n,498703,2018-06-29T20:55:10.0Z,FHCL.COLL_batchW1KG16593-1n_20180627_134358,468,,R,"gso rig sman bcos phyogs bsgrigs, གསོ་རིག་སྨན་བཅོས་ཕྱོགས་བསྒྲིགས།, 藏医药选编, zang yi yao xuan bian",Tibetan Buddhist Resource Center,22464272
447673135,W1KG18487-I1KG18499,"urn-3:FHCL:37174750, urn-3:HUL.DRS.OBJECT:37174749",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-29T20:59:19.857Z,,batchW1KG18487-1n,498704,2018-06-29T20:59:19.0Z,FHCL.COLL_batchW1KG18487-1n_20180627_125547,468,,R,"rdzogs chen klong chen snying thig gi thun mong sngon 'gro sems sbyong bdun gyi don khrid thar pa'i them skas kyi zin thun mtsho skyes bla ma dgyes pa'i zhal lung, རྫོགས་ཆེན་ཀློང་ཆེན་སྙིང་ཐིག་གི་ཐུན་མོང་སྔོན་འགྲོ་སེམས་སྦྱོང་བདུན་གྱི་དོན་ཁྲིད་ཐར་པའི་ཐེམ་སྐས་ཀྱི་ཟིན་ཐུན་མཚོ་སྐྱེས་བླ་མ་དགྱེས་པའི་ཞལ་ལུང་།, sngon 'gro sems sbyong bdun gyi don khrid thar pa'i them skas kyi zin thun",Tibetan Buddhist Resource Center,76418367
447673605,W1KG18487-I1KG18500,"urn-3:FHCL:37174752, urn-3:HUL.DRS.OBJECT:37174751",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-29T20:59:47.837Z,,batchW1KG18487-1n,498704,2018-06-29T20:59:19.0Z,FHCL.COLL_batchW1KG18487-1n_20180627_125547,468,,R,"rdzogs chen klong chen snying thig gi thun mong sngon 'gro sems sbyong bdun gyi don khrid thar pa'i them skas kyi zin thun mtsho skyes bla ma dgyes pa'i zhal lung, རྫོགས་ཆེན་ཀློང་ཆེན་སྙིང་ཐིག་གི་ཐུན་མོང་སྔོན་འགྲོ་སེམས་སྦྱོང་བདུན་གྱི་དོན་ཁྲིད་ཐར་པའི་ཐེམ་སྐས་ཀྱི་ཟིན་ཐུན་མཚོ་སྐྱེས་བླ་མ་དགྱེས་པའི་ཞལ་ལུང་།, sngon 'gro sems sbyong bdun gyi don khrid thar pa'i them skas kyi zin thun",Tibetan Buddhist Resource Center,76418367
447674075,W1KG16594-I2PD18060,"urn-3:FHCL:37174754, urn-3:HUL.DRS.OBJECT:37174753",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-29T21:01:20.239Z,,batchW1KG16594-1n,498705,2018-06-29T21:01:19.0Z,FHCL.COLL_batchW1KG16594-1n_20180627_135050,988,,R,"gso rig man ngag myong byang phyogs bsgrigs, གསོ་རིག་མན་ངག་མྱོང་བྱང་ཕྱོགས་བསྒྲིགས།, 藏医学实栈概论, zang yi xue shi jian gai lun",Tibetan Buddhist Resource Center,97674316
447675065,W1KG16595-I2PD18308,"urn-3:FHCL:37174756, urn-3:HUL.DRS.OBJECT:37174755",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-29T21:03:11.461Z,,batchW1KG16595-1n,498706,2018-06-29T21:03:11.0Z,FHCL.COLL_batchW1KG16595-1n_20180627_135446,412,,R,"chung bcos bdud rtsi bum pa, ཆུང་བཅོས་བདུད་རྩི་བུམ་པ།, 小儿科简易理疗, xiao er ke jian yi li liao",Tibetan Buddhist Resource Center,44004688
