object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
445777114,W1AC372-I2PD17669,"urn-3:FHCL:37134800, urn-3:HUL.DRS.OBJECT:37134799",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC372-1n,476893,2018-06-19T21:56:59.0Z,FHCL.COLL_batchW1AC372-1n_20180618_140851,916,,R,"rgyal dbang sku phreng rim byon gyi mdzad rnam/ sku phreng bcu gcig pa mkhas grub rgya mtsho'i dang sku phreng bcu gnyis pa 'phrin ls rgya mtsho'i rnam thar, རྒྱལ་དབང་སྐུ་ཕྲེང་རིམ་བྱོན་གྱི་མཛད་རྣམ། སྐུ་ཕྲེང་བཅུ་གཅིག་་པ་མཁས་གྲུབ་རྒྱ་མཚོའི་དང་སྐུ་ཕྲེང་བཅུ་གཉིས་པ་འཕྲིན་ལས་རྒྱ་མཚོའི་རྣམ་ཐར།, rgyal dbang sku phreng bcu gcig pa mkhas grub rgya mtsho dang sku phreng bcu gnyis pa 'phrin las rgya mtsho'i rnam thar, 历辈达赖喇嘛传—第十一世达赖喇嘛凯珠嘉措、第十二世达赖喇嘛成烈嘉措传, li bei da lai la ma zhuan--di shi yi shi da lai la ma kai zhu jia cuo\di shi er shi da lai la ma cheng lai jia cuo zhuan",Tibetan Buddhist Resource Center,50671172
445788682,W1AC343-I4PD4370,"urn-3:FHCL:37134812, urn-3:HUL.DRS.OBJECT:37134811",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC343-1n,476896,2018-06-19T21:59:02.0Z,FHCL.COLL_batchW1AC343-1n_20180618_123539,516,,R,"'ja' lus pd+ma bdud 'dul gyi gsang sgrub gter chos/（bod rgya shan sbyar/）, འཇའ་ལུས་པདྨ་བདུད་འདུལ་གྱི་གསང་སྒྲུབ་གཏེར་ཆོས།（བོད་རྒྱ་ཤན་སྦྱར།）, 红光成就白玛邓登掘藏密法（藏汉）, hong guang cheng jiu bai ma den geng jue cang mi fa",Tibetan Buddhist Resource Center,86265337
445789200,W1AC343-I4PD4371,"urn-3:FHCL:37134819, urn-3:HUL.DRS.OBJECT:37134817",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC343-1n,476896,2018-06-19T21:59:02.0Z,FHCL.COLL_batchW1AC343-1n_20180618_123539,516,,R,"'ja' lus pd+ma bdud 'dul gyi gsang sgrub gter chos/（bod rgya shan sbyar/）, འཇའ་ལུས་པདྨ་བདུད་འདུལ་གྱི་གསང་སྒྲུབ་གཏེར་ཆོས།（བོད་རྒྱ་ཤན་སྦྱར།）, 红光成就白玛邓登掘藏密法（藏汉）, hong guang cheng jiu bai ma den geng jue cang mi fa",Tibetan Buddhist Resource Center,86265337
445789718,W1AC343-I4PD4372,"urn-3:FHCL:37134830, urn-3:HUL.DRS.OBJECT:37134829",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC343-1n,476896,2018-06-19T21:59:02.0Z,FHCL.COLL_batchW1AC343-1n_20180618_123539,516,,R,"'ja' lus pd+ma bdud 'dul gyi gsang sgrub gter chos/（bod rgya shan sbyar/）, འཇའ་ལུས་པདྨ་བདུད་འདུལ་གྱི་གསང་སྒྲུབ་གཏེར་ཆོས།（བོད་རྒྱ་ཤན་སྦྱར།）, 红光成就白玛邓登掘藏密法（藏汉）, hong guang cheng jiu bai ma den geng jue cang mi fa",Tibetan Buddhist Resource Center,86265337
445790236,W1AC343-I4PD4373,"urn-3:FHCL:37134842, urn-3:HUL.DRS.OBJECT:37134841",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC343-1n,476896,2018-06-19T21:59:02.0Z,FHCL.COLL_batchW1AC343-1n_20180618_123539,516,,R,"'ja' lus pd+ma bdud 'dul gyi gsang sgrub gter chos/（bod rgya shan sbyar/）, འཇའ་ལུས་པདྨ་བདུད་འདུལ་གྱི་གསང་སྒྲུབ་གཏེར་ཆོས།（བོད་རྒྱ་ཤན་སྦྱར།）, 红光成就白玛邓登掘藏密法（藏汉）, hong guang cheng jiu bai ma den geng jue cang mi fa",Tibetan Buddhist Resource Center,86265337
445790754,W1AC343-I4PD4374,"urn-3:FHCL:37134846, urn-3:HUL.DRS.OBJECT:37134845",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC343-1n,476896,2018-06-19T21:59:02.0Z,FHCL.COLL_batchW1AC343-1n_20180618_123539,516,,R,"'ja' lus pd+ma bdud 'dul gyi gsang sgrub gter chos/（bod rgya shan sbyar/）, འཇའ་ལུས་པདྨ་བདུད་འདུལ་གྱི་གསང་སྒྲུབ་གཏེར་ཆོས།（བོད་རྒྱ་ཤན་སྦྱར།）, 红光成就白玛邓登掘藏密法（藏汉）, hong guang cheng jiu bai ma den geng jue cang mi fa",Tibetan Buddhist Resource Center,86265337
445791272,W1AC343-I4PD4375,"urn-3:FHCL:37134852, urn-3:HUL.DRS.OBJECT:37134851",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC343-1n,476896,2018-06-19T21:59:02.0Z,FHCL.COLL_batchW1AC343-1n_20180618_123539,516,,R,"'ja' lus pd+ma bdud 'dul gyi gsang sgrub gter chos/（bod rgya shan sbyar/）, འཇའ་ལུས་པདྨ་བདུད་འདུལ་གྱི་གསང་སྒྲུབ་གཏེར་ཆོས།（བོད་རྒྱ་ཤན་སྦྱར།）, 红光成就白玛邓登掘藏密法（藏汉）, hong guang cheng jiu bai ma den geng jue cang mi fa",Tibetan Buddhist Resource Center,86265337
445791790,W1AC343-I4PD4376,"urn-3:FHCL:37134862, urn-3:HUL.DRS.OBJECT:37134861",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC343-1n,476896,2018-06-19T21:59:02.0Z,FHCL.COLL_batchW1AC343-1n_20180618_123539,516,,R,"'ja' lus pd+ma bdud 'dul gyi gsang sgrub gter chos/（bod rgya shan sbyar/）, འཇའ་ལུས་པདྨ་བདུད་འདུལ་གྱི་གསང་སྒྲུབ་གཏེར་ཆོས།（བོད་རྒྱ་ཤན་སྦྱར།）, 红光成就白玛邓登掘藏密法（藏汉）, hong guang cheng jiu bai ma den geng jue cang mi fa",Tibetan Buddhist Resource Center,86265337
445792308,W1AC355-I2PD18195,"urn-3:FHCL:37134859, urn-3:HUL.DRS.OBJECT:37134857",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC355-1n,476898,2018-06-19T22:04:01.0Z,FHCL.COLL_batchW1AC355-1n_20180618_130440,330,,R,"sman rams pa dkon mchog rin chen mchog gi gsung rtsom, སྨན་རམས་པ་དཀོན་མཆོག་རིན་ཆེན་མཆོག་གི་གསུང་རྩོམ།, sman rams pa dkon mchog rin chen mchog gi gsung rtsom phyogs bsgrigs, 供秋仁青文集, gong qiu ren qing wen ji",Tibetan Buddhist Resource Center,66447640
445792640,W1AC355-I2PD18196,"urn-3:FHCL:37134864, urn-3:HUL.DRS.OBJECT:37134863",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC355-1n,476898,2018-06-19T22:04:01.0Z,FHCL.COLL_batchW1AC355-1n_20180618_130440,330,,R,"sman rams pa dkon mchog rin chen mchog gi gsung rtsom, སྨན་རམས་པ་དཀོན་མཆོག་རིན་ཆེན་མཆོག་གི་གསུང་རྩོམ།, sman rams pa dkon mchog rin chen mchog gi gsung rtsom phyogs bsgrigs, 供秋仁青文集, gong qiu ren qing wen ji",Tibetan Buddhist Resource Center,66447640
