object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
445812446,W1AC350-I2PD17865,"urn-3:FHCL:37140913, urn-3:HUL.DRS.OBJECT:37140912",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC350-1n,480671,2018-06-20T21:00:08.0Z,FHCL.COLL_batchW1AC350-1n_20180618_125109,118,,R,"gangs ri ti se dang mtsho chen ma dros pa bcas kyi sngon byung gi lo rgyus mdor bsdus su brjod pa rab byed shel dkar me long, གངས་རི་ཏི་སེ་དང་མཚོ་ཆེན་མ་དྲོས་པ་བཅས་ཀྱི་སྔོན་བྱུང་གི་ལོ་རྒྱུས་མདོར་བསྡུས་སུ་བརྗོད་པ་རབ་བྱེད་ཤེལ་དཀར་མེ་ལོང་།",Tibetan Buddhist Resource Center,7867001
445812566,W1AC321-I2PD18066,"urn-3:FHCL:37140915, urn-3:HUL.DRS.OBJECT:37140914",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC321-1n,480672,2018-06-20T21:00:29.0Z,FHCL.COLL_batchW1AC321-1n_20180618_190021,526,,R,"phyag chen rgya gzhung, ཕྱག་ཆེན་རྒྱ་གཞུང་།",Tibetan Buddhist Resource Center,32923125
445813804,W1AC321-I2PD18067,"urn-3:FHCL:37140917, urn-3:HUL.DRS.OBJECT:37140916",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC321-1n,480672,2018-06-20T21:00:29.0Z,FHCL.COLL_batchW1AC321-1n_20180618_190021,526,,R,"phyag chen rgya gzhung, ཕྱག་ཆེན་རྒྱ་གཞུང་།",Tibetan Buddhist Resource Center,32923125
445815042,W1AC321-I2PD18068,"urn-3:FHCL:37140919, urn-3:HUL.DRS.OBJECT:37140918",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC321-1n,480672,2018-06-20T21:00:29.0Z,FHCL.COLL_batchW1AC321-1n_20180618_190021,526,,R,"phyag chen rgya gzhung, ཕྱག་ཆེན་རྒྱ་གཞུང་།",Tibetan Buddhist Resource Center,32923125
445832298,W1FPL175-I1FPL175,"urn-3:FHCL:37141686, urn-3:HUL.DRS.OBJECT:37141685",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL175-1n,480680,2018-06-20T21:21:10.0Z,FHCL.COLL_batchW1FPL175-1n_20180620_162649,208,,R,pācit nissya,Tibetan Buddhist Resource Center,58666702
445832508,W1FPL138-I1FPL138,"urn-3:FHCL:37141688, urn-3:HUL.DRS.OBJECT:37141687",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL138-1n,480681,2018-06-20T21:22:04.0Z,FHCL.COLL_batchW1FPL138-1n_20180620_152432,125,,R,mūlasikkhā nisya--bhikkhunī nissya--pātimot pāṭh--khuddhasikkhā pāṭh--bhikkhunī pāṭh,Tibetan Buddhist Resource Center,33800011
445832635,W1FPL203-I1FPL203,"urn-3:FHCL:37141692, urn-3:HUL.DRS.OBJECT:37141690",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL203-1n,480683,2018-06-20T21:22:05.0Z,FHCL.COLL_batchW1FPL203-1n_20180620_155917,158,,R,pārājikaṇ gaṇṭhi--mahāvā pāḷi-tō,Tibetan Buddhist Resource Center,71727768
445832705,W1FPL136-I1FPL136,"urn-3:FHCL:37141691, urn-3:HUL.DRS.OBJECT:37141689",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL136-1n,480682,2018-06-20T21:22:05.0Z,FHCL.COLL_batchW1FPL136-1n_20180620_152334,168,,R,dhammadesanālaṅkāra*--khuddasikkhā nissya,Tibetan Buddhist Resource Center,39703007
445832965,W1FPL1147-I1FPL1147,"urn-3:FHCL:37141694, urn-3:HUL.DRS.OBJECT:37141693",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1147-1n,480684,2018-06-20T21:22:07.0Z,FHCL.COLL_batchW1FPL1147-1n_20180620_161644,287,,R,pārājikaṇ aṭṭhakathā pāṭh,Tibetan Buddhist Resource Center,86898159
445833254,W1FPL2034-I1FPL2034,"urn-3:FHCL:37141696, urn-3:HUL.DRS.OBJECT:37141695",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL2034-1n,480685,2018-06-20T21:22:15.0Z,FHCL.COLL_batchW1FPL2034-1n_20180620_155939,11,,R,pārājikaṇ pāḷi-tō--kammavā pāḷi--piṭakap samuiṅ:--pācit pāḷi-tō,Tibetan Buddhist Resource Center,3249930
445833271,W1FPL204-I1FPL204,"urn-3:FHCL:37141699, urn-3:HUL.DRS.OBJECT:37141698",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL204-1n,480687,2018-06-20T21:23:11.0Z,FHCL.COLL_batchW1FPL204-1n_20180620_160039,129,,R,suttasaṅgaha pāḷi-tō nissa*,Tibetan Buddhist Resource Center,38206485
445833402,W1FPL139-I1FPL139,"urn-3:FHCL:37141701, urn-3:HUL.DRS.OBJECT:37141700",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL139-1n,480688,2018-06-20T21:23:12.0Z,FHCL.COLL_batchW1FPL139-1n_20180620_152553,199,,R,[kaccāyana?] sandhi pāṭḥ to uṇhāt---saṅgruih pāṭh--saṅgruih nisya,Tibetan Buddhist Resource Center,46676325
445833603,W1FPL176-I1FPL176,"urn-3:FHCL:37141703, urn-3:HUL.DRS.OBJECT:37141702",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL176-1n,480689,2018-06-20T21:23:15.0Z,FHCL.COLL_batchW1FPL176-1n_20180620_162914,362,,R,therā pāḷi-tō--theragāthā aṭṭhakathā,Tibetan Buddhist Resource Center,104131381
