object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,object_mets_createDate_date,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
445940010,W1FPL2372-I1FPL2372,"urn-3:FHCL:37146971, urn-3:HUL.DRS.OBJECT:37146970",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:33:29.776Z,,2018-06-21T17:37:40.283Z,batchW1FPL2372-1n,485670,2018-06-22T15:33:27.0Z,FHCL.COLL_batchW1FPL2372-1n_20180621_133756,77,,R,ṭīkā-kyō pāṭh--kaṅkhāvitaraṇī aṭhakathā pāṭh,Tibetan Buddhist Resource Center,20071488
445940089,W1FPL238-I1FPL238,"urn-3:FHCL:37146973, urn-3:HUL.DRS.OBJECT:37146972",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:35:10.578Z,,2018-06-21T17:38:39.133Z,batchW1FPL238-1n,485671,2018-06-22T15:35:10.0Z,FHCL.COLL_batchW1FPL238-1n_20180621_133918,219,,R,cvay cuṃ kyō thaṅ ’aphre--lokavidū*,Tibetan Buddhist Resource Center,66064305
445940310,W1FPL224-I1FPL224,"urn-3:FHCL:37146975, urn-3:HUL.DRS.OBJECT:37146974",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:35:10.951Z,,2018-06-21T17:16:13.64Z,batchW1FPL224-1n,485672,2018-06-22T15:35:10.0Z,FHCL.COLL_batchW1FPL224-1n_20180621_131703,224,,R,mahāvā pāḷi-tō--vibhat svay--sut sañ,Tibetan Buddhist Resource Center,69958964
445940536,W1FPL225-I1FPL225,"urn-3:FHCL:37146977, urn-3:HUL.DRS.OBJECT:37146976",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:36:03.224Z,,2018-06-21T17:17:47.278Z,batchW1FPL225-1n,485673,2018-06-22T15:36:03.0Z,FHCL.COLL_batchW1FPL225-1n_20180621_131830,188,,R,pācit pāḷi-tō,Tibetan Buddhist Resource Center,65435164
445940726,W1FPL239-I1FPL239,"urn-3:FHCL:37146979, urn-3:HUL.DRS.OBJECT:37146978",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:37:10.80Z,,2018-06-21T17:40:02.615Z,batchW1FPL239-1n,485674,2018-06-22T15:37:10.0Z,FHCL.COLL_batchW1FPL239-1n_20180621_134056,234,,R,[kaccāyana?] nām pāṭh; samās-; taddhit---saddavutti pāṭh--saddatthabhedacintā pāṭh--sambandhacintā pāṭh--abhidhān pāṭh--moggalān--bhikkhunīpātimok--dhātumālā pāṭh,Tibetan Buddhist Resource Center,77371137
445940962,W26077-4346,"urn-3:FHCL:37146981, urn-3:HUL.DRS.OBJECT:37146980",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:38:13.782Z,,2018-06-22T02:00:52.854Z,batchW26077-1n,485675,2018-06-22T15:38:13.0Z,FHCL.COLL_batchW26077-1n_20180621_220334,576,,R,"snan rgyud yid bzin nor bu'i rnam bsad yan gsal gyi zin bris bde mchog 'khor lo mtha' yas pa'i nes gnas rab tu gsal ba a detailed exegesis of kun-mkhyen padma-dkar-po's study of the snan brgyud precepts of the cakrasamvara practice, snyan rgyud yid bzhin nor bu'i rnam bshad yang gsal gyi zin bris bde mchog 'khor lo mtha' yas pa'i nges gnas rab tu gsal ba, a detailed exegesis of kun-mkhyen padma-dkar-po's study of the snan brgyud precepts of the cakrasamvara practice",Tibetan Buddhist Resource Center,16947256
445941540,W26077-4347,"urn-3:FHCL:37146983, urn-3:HUL.DRS.OBJECT:37146982",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:38:43.722Z,,2018-06-22T02:02:14.161Z,batchW26077-1n,485675,2018-06-22T15:38:13.0Z,FHCL.COLL_batchW26077-1n_20180621_220334,576,,R,"snan rgyud yid bzin nor bu'i rnam bsad yan gsal gyi zin bris bde mchog 'khor lo mtha' yas pa'i nes gnas rab tu gsal ba a detailed exegesis of kun-mkhyen padma-dkar-po's study of the snan brgyud precepts of the cakrasamvara practice, snyan rgyud yid bzhin nor bu'i rnam bshad yang gsal gyi zin bris bde mchog 'khor lo mtha' yas pa'i nges gnas rab tu gsal ba, a detailed exegesis of kun-mkhyen padma-dkar-po's study of the snan brgyud precepts of the cakrasamvara practice",Tibetan Buddhist Resource Center,16947256
445942118,W1FPL226-I1FPL226,"urn-3:FHCL:37146985, urn-3:HUL.DRS.OBJECT:37146984",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:39:11.133Z,,2018-06-21T17:19:12.525Z,batchW1FPL226-1n,485676,2018-06-22T15:39:11.0Z,FHCL.COLL_batchW1FPL226-1n_20180621_132003,224,,R,mūlasikkhā nissya--bhikkhūnīpātimoṃ nissya--khuddakasikkhā nissaya,Tibetan Buddhist Resource Center,70058029
445942344,W1FPL24-I1FPL24,"urn-3:FHCL:37146987, urn-3:HUL.DRS.OBJECT:37146986",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:40:05.552Z,,2018-06-21T17:41:43.156Z,batchW1FPL24-1n,485677,2018-06-22T15:40:05.0Z,FHCL.COLL_batchW1FPL24-1n_20180621_134231,269,,R,pātimut nissya--bhikkhūnīpātimoṃ nissya*--mūlasikkhā nisya*--khuddasikkhā nisya*--dhammapāmojja,Tibetan Buddhist Resource Center,73645797
445942615,W1FPL240-I1FPL240,"urn-3:FHCL:37146989, urn-3:HUL.DRS.OBJECT:37146988",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:41:08.363Z,,2018-06-21T17:43:05.860Z,batchW1FPL240-1n,485678,2018-06-22T15:41:08.0Z,FHCL.COLL_batchW1FPL240-1n_20180621_134340,137,,R,vinañ saṅgruih nissya,Tibetan Buddhist Resource Center,42169464
445942754,W1FPL241-I1FPL241,"urn-3:FHCL:37146992, urn-3:HUL.DRS.OBJECT:37146991",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:42:07.696Z,,2018-06-21T17:44:07.226Z,batchW1FPL241-1n,485679,2018-06-22T15:42:08.0Z,FHCL.COLL_batchW1FPL241-1n_20180621_134420,59,,R,cac tan: nissayya*,Tibetan Buddhist Resource Center,16215881
445942815,W1FPL227-I1FPL227,"urn-3:FHCL:37146994, urn-3:HUL.DRS.OBJECT:37146993",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:42:13.22Z,,2018-06-21T17:21:01.270Z,batchW1FPL227-1n,485680,2018-06-22T15:42:13.0Z,FHCL.COLL_batchW1FPL227-1n_20180621_132220,357,,R,vinaññ: saṅgruih nisya,Tibetan Buddhist Resource Center,116523536
445943174,W1FPL228-I1FPL228,"urn-3:FHCL:37146996, urn-3:HUL.DRS.OBJECT:37146995",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:43:01.745Z,,2018-06-21T17:22:47.737Z,batchW1FPL228-1n,485681,2018-06-22T15:43:02.0Z,FHCL.COLL_batchW1FPL228-1n_20180621_132303,60,,R,visuddhimak aṭṭhakathā,Tibetan Buddhist Resource Center,15641423
445943236,W1FPL2414-I1FPL2414,"urn-3:FHCL:37146999, urn-3:HUL.DRS.OBJECT:37146998",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:44:10.362Z,,2018-06-21T17:45:07.374Z,batchW1FPL2414-1n,485682,2018-06-22T15:44:10.0Z,FHCL.COLL_batchW1FPL2414-1n_20180621_134554,260,,R,abhidhammasaṅgruih--mālālaṅkāra--abhidhammatthavinicchayapakāsanī*--saṅgruih pucchāvisajjanā,Tibetan Buddhist Resource Center,63827779
445943498,W1FPL229-I1FPL229,"urn-3:FHCL:37147003, urn-3:HUL.DRS.OBJECT:37147002",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:45:03.845Z,,2018-06-21T17:23:41.598Z,batchW1FPL229-1n,485683,2018-06-22T15:45:04.0Z,FHCL.COLL_batchW1FPL229-1n_20180621_132414,171,,R,ratanamañjūsā cūḷavā pāḷi,Tibetan Buddhist Resource Center,46086755
445943671,W1FPL2422-I1FPL2422,"urn-3:FHCL:37147006, urn-3:HUL.DRS.OBJECT:37147005",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:47:03.279Z,,2018-06-21T17:47:55.562Z,batchW1FPL2422-1n,485684,2018-06-22T15:47:03.0Z,FHCL.COLL_batchW1FPL2422-1n_20180621_134812,84,,R,mālālaṅkāra,Tibetan Buddhist Resource Center,23444261
445943757,W1FPL242-I1FPL242,"urn-3:FHCL:37147008, urn-3:HUL.DRS.OBJECT:37147007",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:47:05.556Z,,2018-06-21T17:46:37.400Z,batchW1FPL242-1n,485685,2018-06-22T15:47:05.0Z,FHCL.COLL_batchW1FPL242-1n_20180621_134726,210,,R,[jāt] tikanipāt nissya*,Tibetan Buddhist Resource Center,69294502
445943969,W1FPL23-I1FPL23,"urn-3:FHCL:37147010, urn-3:HUL.DRS.OBJECT:37147009",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:47:06.332Z,,2018-06-21T17:24:57.410Z,batchW1FPL23-1n,485686,2018-06-22T15:47:06.0Z,FHCL.COLL_batchW1FPL23-1n_20180621_132541,254,,R,samohavinodanī,Tibetan Buddhist Resource Center,69627634
445944225,W1FPL230-I1FPL230,"urn-3:FHCL:37147013, urn-3:HUL.DRS.OBJECT:37147012",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:48:06.874Z,,2018-06-21T17:26:05.551Z,batchW1FPL230-1n,485687,2018-06-22T15:48:07.0Z,FHCL.COLL_batchW1FPL230-1n_20180621_132617,46,,R,satipaṭhān pāṭh nissya,Tibetan Buddhist Resource Center,11683709
445944273,W27314-4313,"urn-3:FHCL:37147015, urn-3:HUL.DRS.OBJECT:37147014",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-22T15:49:21.816Z,,2018-06-22T02:08:17.495Z,batchW27314-1n,485688,2018-06-22T15:49:21.0Z,FHCL.COLL_batchW27314-1n_20180621_221158,764,,R,"bod ljongs kyi lo rgyus go bab dpyad zhib zwa sgam pa'i bod kyi srid don rgyal rabs dang 'phan phu rag gi bod ljongs gyi do bab dpyad gtam brjod pa, བོད་ལྗོངས་ཀྱི་ལོ་རྒྱུས་གོ་བབ་དཔྱད་ཞིབ, hsi tsang li sih ti wen pien, xizang li shi di wei bian, zwa sgam pa'i bod kyi srid don rgyal rabs dang 'phan phu rag gi bod ljongs gyi do bab dpyad gtam brjod pa, Bod-ljoṅs kyi lo rgyus go bab dpyad źib :Zwa-sgab-paʼi ""Bod kyi srid don rgyal rabs"" daṅ Hphan-phu-rag gi ""Bod-ljoṅs gyi do bab dpyad gtam brjod pa /Dbaṅ-rgod, Śes-rab-ñi-ma, Thaṅ-ca-we gsum gyis brtsams ; Skal-don sogs lyis bsgyur",Tibetan Buddhist Resource Center,67154460
