object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
443055698,W30385-I1PD28038,"urn-3:FHCL:36710287, urn-3:HUL.DRS.OBJECT:36710286",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-05-08T00:02:11.588Z,,batchW30385-1,347912,2018-05-08T00:02:11.0Z,FHCL.COLL_batchW30385-1_20180409_034958,354,,"sum rtags skor gyi dpe rgyun dkon po 'ga' phyogs gcig tu bsgrigs pa mu tig phreng ba, སུམ་རྟགས་སྐོར་གྱི་དཔེ་རྒྱུན་དཀོན་པོ་འགའ་ཕྱོགས་གཅིག་ཏུ་བསྒྲིགས་པ་མུ་ཏིག་ཕྲེང་བ, zang wen yu fa xuan ji, Sum rtags skor gyi dpe rgyun dkon po ʾgaʾ phyogs gcig tu bsgrigs pa mu tig phreṅ ba /[rtsom sgrig ʾgan ʾkhur pa, Mkhaʾ-ʾgro-tshe-riṅ]",Tibetan Buddhist Resource Center,127230100
443056054,W30395-6094,"urn-3:FHCL:36710289, urn-3:HUL.DRS.OBJECT:36710288",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-05-08T00:04:02.512Z,,batchW30395-1,347913,2018-05-08T00:04:02.0Z,FHCL.COLL_batchW30395-1_20180409_035319,109,,"drop of nectar a collection of spiritual advice from great tibetan masters, zhal gdams bdud rtsi'i thigs pa, a collection of spiritual advice from great tibetan masters",Tibetan Buddhist Resource Center,7449604
443056165,W30391-I1KG16016,"urn-3:FHCL:36710291, urn-3:HUL.DRS.OBJECT:36710290",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-05-08T00:04:05.36Z,,batchW30391-1,347914,2018-05-08T00:04:05.0Z,FHCL.COLL_batchW30391-1_20180409_035126,294,,"skya mo lam, སྐྱ་མོ་ལམ།, the gray path",Tibetan Buddhist Resource Center,31594341
443056461,W30396-6102,"urn-3:FHCL:36710585, urn-3:HUL.DRS.OBJECT:36710584",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-05-08T00:05:08.992Z,,batchW30396-1,347915,2018-05-08T00:05:09.0Z,FHCL.COLL_batchW30396-1_20180409_035423,196,,"dam tshig thams cad nyams chags skong ba'i lung bshags pa thams cad kyi rgyud dri ma med pa'i rgyal po, དམ་ཚིག་ཐམས་ཅད་ཉམས་ཆགས་སྐོང་བའི་ལུང་བཤགས་པ་ཐམས་ཅད་ཀྱི་རྒྱུད་དྲི་མ་མེད་པའི་རྒྱལ་པོ",Tibetan Buddhist Resource Center,24944932
443056659,W30397-6103,"urn-3:FHCL:36710589, urn-3:HUL.DRS.OBJECT:36710588",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-05-08T00:06:10.568Z,,batchW30397-1,347917,2018-05-08T00:06:10.0Z,FHCL.COLL_batchW30397-1_20180409_035546,264,,"thar pa chen po phyogs su rgyas pa 'gyod tshangs kyi sdig sbyangs te sangs rgyas su grub par rnam par bkod pa zhes bya ba theg pa chen po'i mdo, ཐར་པ་ཆེན་པོ་ཕྱོགས་སུ་རྒྱས་པ་འགྱོད་ཚངས་ཀྱི་སྡིག་སྦྱངས་ཏེ་སངས་རྒྱས་སུ་གྲུབ་པར་རྣམ་པར་བཀོད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ, thar pa chen po'i mdo, ʼPhags pa thar pa chen po phyogs su rgyas pa ʼgyod tshaṅs kyi sdig sbyaṅs te saṅs rgyas su grub par rnam par bkod pa źes bya ba theg pa chen poʼi mdo bźugs so",Tibetan Buddhist Resource Center,21036688
443056925,W30398-6095,"urn-3:FHCL:36710587, urn-3:HUL.DRS.OBJECT:36710586",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-05-08T00:06:10.354Z,,batchW30398-1,347916,2018-05-08T00:06:10.0Z,FHCL.COLL_batchW30398-1_20180409_035705,243,,"rnam gling sngon 'gro slob grwa'i zhal 'don chog sgrigs dngos grub 'dod 'jo daily prayers of namdroling monastery, རྣམ་གླིང་སྔོན་འགྲོ་སློབ་གྲྭའི་ཞལ་འདོན་ཆོག་སྒྲིགས་དངོས་གྲུབ་འདོད་འཇོ, wish granting attainments, daily prayers of namdroling monastery",Tibetan Buddhist Resource Center,18482068
443057170,W30399-6104,"urn-3:FHCL:36710591, urn-3:HUL.DRS.OBJECT:36710590",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-05-08T00:07:01.571Z,,batchW30399-1,347918,2018-05-08T00:07:01.0Z,FHCL.COLL_batchW30399-1_20180409_035740,62,,"tshe dang ye shes dpag tu med pa zhes bya ba theg pa chen po'i mdo, ཚེ་དང་ཡེ་ཤེས་དཔག་ཏུ་མེད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ",Tibetan Buddhist Resource Center,5314992
443057234,W30400-6098,"urn-3:FHCL:36710593, urn-3:HUL.DRS.OBJECT:36710592",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-05-08T00:09:07.788Z,,batchW30400-1,347919,2018-05-08T00:09:07.0Z,FHCL.COLL_batchW30400-1_20180409_035955,496,,"dkon mchog rjes dran dang gru gzings ded dpon ral gri, དཀོན་མཆོག་རྗེས་དྲན་དང་གྲུ་གཟིངས་དེད་དཔོན་རལ་གྲི, gru gzings ded dpon ral gri, dkon mchog gsum rjes su dran pa'i bshad sbyar bkra shis mi zad pa'i 'byung gnas, Dkon mchog rjes dran daṅ gru gziṅs ded dpon ral gri bźugs /[Dge-bsñen Theg-mchog]",Tibetan Buddhist Resource Center,46501220
443057732,W30402-6096,"urn-3:FHCL:36710595, urn-3:HUL.DRS.OBJECT:36710594",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-05-08T00:10:10.941Z,,batchW30402-1,347920,2018-05-08T00:10:11.0Z,FHCL.COLL_batchW30402-1_20180409_040122,288,,"mkhas 'jug gi thun mong theg pa'i chos kyi rnam grangs 'ga' zhig la dpyad pa lung kun las btus pa, མཁས་འཇུག་གི་ཐུན་མོང་ཐེག་པའི་ཆོས་ཀྱི་རྣམ་གྲངས་འགའ་ཞིག་ལ་དཔྱད་པ་ལུང་ཀུན་ལས་བཏུས་པ",Tibetan Buddhist Resource Center,32086410
443058022,W30405-6099,"urn-3:FHCL:36710597, urn-3:HUL.DRS.OBJECT:36710596",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-05-08T00:12:05.784Z,,batchW30405-1,347921,2018-05-08T00:12:06.0Z,FHCL.COLL_batchW30405-1_20180409_040448,2,,"dri bsung pad+ma'i 'dab stong gi rtags kyi 'jug 'grel, དྲི་བསུང་པདྨའི་འདབ་སྟོང་གི་རྟགས་ཀྱི་འཇུག་འགྲེལ",Tibetan Buddhist Resource Center,91108
