file_id_num,file_huldrsadmin_ownerSuppliedName_string,file_huldrsadmin_uri_string_sort,file_huldrsadmin_accessFlag_string,file_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,file_premis_format_string,file_mets_mimetype_string,file_huldrsadmin_insertionDate_date,file_huldrsadmin_suppliedFilename_string,file_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,file_huldrsadmin_adminFlagType_string_sort,object_mets_type_string,object_huldrsadmin_producer_string_sort,file_huldrsadmin_producer_string_sort,file_premis_size_num
459302219,W25093-Outline,urn-3:FHCL:37588914,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-05T19:05:04.817Z,W25093-Outline--W25093-Outline.ttl,,outlineW25093-Outline,607687,2018-10-05T19:05:03.0Z,FHCL.COLL_outlineW25093-Outline_20181005_145502,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,14861
459302211,W19837-Outline,urn-3:FHCL:37588919,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-05T19:05:05.602Z,W19837-Outline--W19837-Outline.ttl,,outlineW19837-Outline,607688,2018-10-05T19:05:03.0Z,FHCL.COLL_outlineW19837-Outline_20181005_145558,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,952742
459302214,W30084-Outline,urn-3:FHCL:37588918,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-05T19:05:05.596Z,W30084-Outline--W30084-Outline.ttl,,outlineW30084-Outline,607686,2018-10-05T19:05:03.0Z,FHCL.COLL_outlineW30084-Outline_20181005_143447,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,12980
459302225,W25094-Outline,urn-3:FHCL:37588921,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-05T19:05:06.308Z,W25094-Outline--W25094-Outline.ttl,,outlineW25094-Outline,607690,2018-10-05T19:05:06.0Z,FHCL.COLL_outlineW25094-Outline_20181005_145651,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,48532
459310600,W00KG03791-Outline,urn-3:FHCL:37593706,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-09T20:54:06.270Z,W00KG03791-Outline--W00KG03791-Outline.ttl,,outlineW00KG03791-Outline,609686,2018-10-09T20:54:04.0Z,FHCL.COLL_outlineW00KG03791-Outline_20181009_151219,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,44473
459406746,W28846-Outline,urn-3:FHCL:37607798,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-11T15:14:03.74Z,W28846-Outline--W28846-Outline.ttl,,outlineW28846-Outline,611694,2018-10-11T15:14:02.0Z,FHCL.COLL_outlineW28846-Outline_20181009_215113,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,189284
459406749,W27015-Outline,urn-3:FHCL:37607799,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-11T15:14:03.91Z,W27015-Outline--W27015-Outline.ttl,,outlineW27015-Outline,611695,2018-10-11T15:14:02.0Z,FHCL.COLL_outlineW27015-Outline_20181009_215205,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,39888
459406752,W28935-Outline,urn-3:FHCL:37607795,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-11T15:14:02.463Z,W28935-Outline--W28935-Outline.ttl,,outlineW28935-Outline,611693,2018-10-11T15:14:02.0Z,FHCL.COLL_outlineW28935-Outline_20181009_222623,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,18469
459406755,W29091-Outline,urn-3:FHCL:37607801,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-11T15:14:03.839Z,W29091-Outline--W29091-Outline.ttl,,outlineW29091-Outline,611696,2018-10-11T15:14:03.0Z,FHCL.COLL_outlineW29091-Outline_20181009_214751,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,21887
459406758,W1PD5300-Outline,urn-3:FHCL:37607805,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-11T15:14:04.347Z,W1PD5300-Outline--W1PD5300-Outline.ttl,,outlineW1PD5300-Outline,611697,2018-10-11T15:14:04.0Z,FHCL.COLL_outlineW1PD5300-Outline_20181009_224417,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,46394
