WorkName,HOLLIS
W00EGS1017042,14253949
W00EGS1017169,14253976
W00KG03797,14254417
W00KG09824,14254576
W12171,14254663
W12362,14254665
W17209,14254782
W19993,14254940
W1CZ1293,14255211
W1CZ2403,14255342
W1CZ674,14255400
W1KG11708,14255711
W1KG14505,14256138
W1KG15407,14256281
W1KG1610,14256331
W1KG1616,14256344
W1KG16696,14256387
W1KG2230,14256611
W1KG2855,14256642
W1KG3460,14256680
W1KG4215,14256834
W1KG4228,14256845
W1KG4313,14256911
W1KG5256,14257096
W1KG5258,14257097
W1KG5478,14257148
W1KG5488,14257150
W1KG5945,14257233
W1KG6007,14257255
W1KG6058,14257274
W1KG6152,14257313
W1KG6160,14257319
W1KG6288,14257349
W1KG8579,14257415
W1KG8724,14257430
W1KG8837,14257453
W1KG8855,14257456
W1KG8896,14257462
W1KG8934,14257476
W1KG9090,14257507
W1KG9121,14257508
W1KG9561,14257591
W1KG9563,14257593
W1PD105801,14257666
W1PD105849,14257682
W1PD105855,14257684
W1PD105864,14257687
W1PD105899,14257698
W1PD159424,14257726
W1PD159541,14257727
W1PD96684,14257984
W20017,14258003
W20143,14258070
W20184,14258081
W20395,14258122
W20410,14258135
W20457,14258165
W20531,14258194
W20532,14258195
W20813,14258224
W20819,14258229
W20820,14258230
W20849,14258253
W20856,14258258
W20913,14258275
W21017,14258281
W21496,14258306
W21508,14258316
W21550,14258328
W21716,14258400
W21731,14258413
W21763,14258434
W21896,14258490
W21968,14258526
W22039,14258578
W22356,14258759
W22362,14258763
W22936,14258790
W23151,14258795
W23162,14258804
W23205,14258844
W23367,14258879
W23463,14258935
W23553,14258956
W23646,14259011
W23698,14259043
W23741,14259083
W23773,14259114
W23792,14259131
W23799,14259138
W23826,14259160
W23912,14259222
W23913,14259223
W24766,14259352
W25146,14259413
W25155,14259416
W25167,14259419
W25194,14259426
W25213,14259430
W25219,14259432
W26077,14259512
W26450,14259534
W27314,14259611
W27418,14259636
W27608,14259705
W28839,14259794
W28850,14259804
W28936,14259835
W29095,14259901
W29628,14260050
W29676,14260083
W29684,14260089
W2CZ5022,14260135
W2CZ7951,14260268
W2CZ7952,14260269
W2CZ7957,14260271
W2CZ7958,14260272
W2PD14777,14260563
W30113,14260626
W30121,14260633
W30147,14260656
W30160,14260668
W30183,14260689
W30283,14260709
W30286,14260712
W30290,14260716
W30293,14260719
W30334,14260735
W30394,14260759
W30403,14260767
W30452,14260798
W30486,14260820
W30498,14260827
W30520,14260831
W30523,14260832
W30525,14260833
W30526,14260834
W30527,14260835
W30528,14260836
W30532,14260837
W30535,14260840
W30539,14260844
W3087,14260847
W321,14260848
W322,14260849
W3621,14260851
W3817,14260852
W3838,14260854
W389,14260857
W3904,14260858
W3CZ1323,14260860
W4CZ1018,14260876
W4CZ20860,14260927
W4CZ20867,14260934
W4CZ20870,14260936
W4CZ30842,14260948
W4CZ5370,14260960
W4CZ7445,14260965
W4CZ75,14260966
W4CZ77,14260967
W5833,14260978
W5JW1,14260981
W7735,14261056
W7737,14261057
W8140,14261063
W8145,14261064
W8147,14261065
W817,14261066
W8223,14261068
W8226,14261070
W8227,14261071
W8228,14261072
W8230,14261073
W8231,14261074
W8234,14261075
W8235,14261076
W8238,14261077
W8239,14261078
W8245,14261079
W8248,14261080
W8284,14261081
W8464,14261083
W8469,14261084
W8471,14261085
W8473,14261086
W8479,14261087
W8483,14261088
W8499,14261089
W8517,14261090
W8601,14261091
W8602,14261092
W8607,14261093
W8618,14261096
W8621,14261097
W8668,14261098
W8682,14261099
W871,14261103
W8722,14261104
W8723,14261105
W8803,14261108
W8835,14261109
W8859,14261110
W8869,14261111
W8871,14261113
W8873,14261114
W8880,14261115
W8881,14261116
W8961,14261117
W9071,14261118
W9088,14261120
W913,14261121
W914,14261122
W918,14261124
W923,14261127
W926,14261128
W930,14261130
W940,14261133
W942,14261134
W944,14261135
W9668,14261137
W9674,14261138
W9680,14261139
W9748,14261141
W9752,14261142
W9810,14261144
W986,14261146
W9893,14261148
W00EGS1016202,15325017
W00JR625,15325049
W00KG015,15325052
W00KG017,15325058
W00KG02762,15325075
W00KG0541,15327210
W00KG0544,15325090
W00KG0545,15325091
W00KG0546,15325092
W00KG0618,15325099
W00KG0620,15325101
W00KG09976,15325109
W10131,15325111
W11757,15325114
W12164,15325116
W12486,15325117
W13887,15325582
W15222,15325120
W16478,15325123
W17199,15325127
W17202,15328256
W18124,15328453
W19351,15325128
W19466,15326574
W19474,15325129
W19704,15326238
W19956,15325134
W19964,15325135
W19970,15325136
W19976,15325137
W19981,15325138
W19992,15325140
W19994,15325141
W1AC1,15327104
W1AC10,15324877
W1AC11,15324891
W1AC12,15324893
W1AC16,15324895
W1AC17,15324897
W1AC18,15324898
W1AC19,15326961
W1AC2,15328107
W1AC20,15326962
W1AC207,15327412
W1AC208,15327561
W1AC209,15327413
W1AC21,15326963
W1AC210,15327414
W1AC211,15327415
W1AC212,15327416
W1AC213,15327693
W1AC214,15327417
W1AC215,15327694
W1AC216,15327418
W1AC217,15327419
W1AC218,15327654
W1AC219,15327420
W1AC220,15327560
W1AC221,15327425
W1AC222,15327426
W1AC223,15327582
W1AC224,15327429
W1AC225,15325183
W1AC226,15327430
W1AC227,15327431
W1AC228,15327432
W1AC229,15327433
W1AC230,15327434
W1AC231,15327585
W1AC232,15327435
W1AC233,15327436
W1AC235,15327440
W1AC236,15327633
W1AC237,15327441
W1AC238,15327442
W1AC239,15327824
W1AC240,15327443
W1AC241,15327107
W1AC242,15327444
W1AC244,15325187
W1AC245,15327446
W1AC246,15327447
W1AC247,15327448
W1AC248,15325188
W1AC249,15327449
W1AC25,15326965
W1AC250,15327468
W1AC251,15325206
W1AC252,15327450
W1AC253,15327451
W1AC254,15327470
W1AC255,15328040
W1AC256,15327471
W1AC257,15327472
W1AC259,15328046
W1AC26,15326966
W1AC260,15327474
W1AC261,15327475
W1AC266,15327477
W1AC267,15328049
W1AC269,15328051
W1AC27,15326967
W1AC270,15327478
W1AC271,15327479
W1AC272,15327480
W1AC273,15327481
W1AC274,15327482
W1AC275,15327483
W1AC276,15327137
W1AC277,15327484
W1AC278,15327485
W1AC28,15326968
W1AC280,15328082
W1AC281,15328083
W1AC282,15328088
W1AC283,15327162
W1AC284,15328092
W1AC285,15327496
W1AC288,15328101
W1AC29,15325166
W1AC290,15327497
W1AC291,15327498
W1AC292,15327499
W1AC293,15326193
W1AC294,15325147
W1AC295,15327502
W1AC298,15328184
W1AC299,15328185
W1AC3,15328108
W1AC30,15325165
W1AC301,15327586
W1AC305,15327587
W1AC306,15327588
W1AC308,15327589
W1AC309,15327591
W1AC31,15325163
W1AC310,15327592
W1AC311,15327593
W1AC312,15327596
W1AC314,15327597
W1AC315,15327598
W1AC316,15327600
W1AC317,15327250
W1AC318,15327601
W1AC319,15327602
W1AC32,15325162
W1AC320,15324851
W1AC321,15324852
W1AC322,15324853
W1AC323,15324859
W1AC325,15324854
W1AC326,15324857
W1AC327,15324858
W1AC328,15324860
W1AC329,15324861
W1AC33,15325161
W1AC331,15324867
W1AC332,15325214
W1AC333,15325215
W1AC334,15324870
W1AC335,15324871
W1AC336,15324872
W1AC337,15324873
W1AC338,15324874
W1AC339,15324875
W1AC34,15325160
W1AC340,15324876
W1AC341,15324878
W1AC343,15324879
W1AC344,15324880
W1AC345,15324882
W1AC346,15324883
W1AC347,15324884
W1AC348,15325216
W1AC349,15324887
W1AC35,15325159
W1AC350,15324888
W1AC352,15324889
W1AC354,15324890
W1AC355,15324892
W1AC356,15324894
W1AC358,15324896
W1AC359,15329162
W1AC36,15325158
W1AC360,15325219
W1AC361,15325220
W1AC362,15324914
W1AC364,15324916
W1AC365,15324919
W1AC368,15324927
W1AC37,15325157
W1AC370,15325225
W1AC371,15324959
W1AC372,15325226
W1AC373,15325227
W1AC374,15324961
W1AC375,15324963
W1AC376,15324964
W1AC377,15325232
W1AC378,15325233
W1AC379,15325234
W1AC38,15325156
W1AC380,15325235
W1AC381,15325236
W1AC382,15325237
W1AC383,15325238
W1AC384,15325239
W1AC385,15325240
W1AC386,15325241
W1AC387,15325242
W1AC388,15325243
W1AC389,15325244
W1AC39,15325155
W1AC390,15325245
W1AC391,15325264
W1AC392,15325265
W1AC393,15325266
W1AC394,15325267
W1AC395,15325287
W1AC399,15325268
W1AC4,15328109
W1AC40,15325167
W1AC400,15325288
W1AC401,15325289
W1AC402,15325290
W1AC403,15325291
W1AC404,15325292
W1AC405,15325293
W1AC406,15325294
W1AC407,15325295
W1AC41,15325154
W1AC410,15326773
W1AC411,15325308
W1AC412,15326806
W1AC413,15327428
W1AC414,15326808
W1AC415,15325310
W1AC416,15326814
W1AC417,15325311
W1AC418,15326819
W1AC42,15325153
W1AC420,15326822
W1AC421,15326823
W1AC422,15326825
W1AC423,15326827
W1AC424,15325312
W1AC425,15326831
W1AC426,15325313
W1AC427,15327609
W1AC428,15325314
W1AC429,15325316
W1AC43,15325152
W1AC430,15327459
W1AC431,15327460
W1AC432,15327461
W1AC433,15327462
W1AC434,15327463
W1AC435,15326876
W1AC436,15327465
W1AC437,15326877
W1AC438,15327489
W1AC439,15325330
W1AC44,15325164
W1AC440,15326894
W1AC441,15327490
W1AC442,15325331
W1AC443,15327491
W1AC446,15327492
W1AC447,15325332
W1AC448,15325333
W1AC449,15327494
W1AC45,15325151
W1AC450,15327495
W1AC451,15326912
W1AC452,15326914
W1AC453,15326915
W1AC454,15327506
W1AC456,15326918
W1AC457,15327507
W1AC458,15326922
W1AC459,15326924
W1AC46,15325150
W1AC460,15326925
W1AC462,15326944
W1AC463,15326945
W1AC464,15326946
W1AC466,15326947
W1AC47,15325149
W1AC48,15325173
W1AC49,15325174
W1AC5,15328111
W1AC50,15325172
W1AC51,15325148
W1AC52,15325177
W1AC53,15325178
W1AC54,15325179
W1AC55,15325175
W1AC56,15325171
W1AC57,15325176
W1AC58,15327099
W1AC6,15328110
W1AC7,15328112
W1AC8,15328114
W1AT883,15325142
W1CZ1981,15326836
W1CZ892,15325317
W1EE15,15327512
W1EE16,15326854
W1EE18,15326855
W1EE22,15326856
W1EE24,15326857
W1EE27,15326858
W1EE28,15327724
W1EE34,15326059
W1EE36,15326860
W1EE38,15326861
W1EE39,15326862
W1EE5,15326864
W1EE50,15326865
W1EE51,15326866
W1EE52,15326867
W1EE55,15326868
W1EE60,15326870
W1EE61,15326871
W1EE64,15326872
W1EE68,15326873
W1EE72,15326874
W1EE73,15327246
W1FPL1,15336377
W1FPL10,15332339
W1FPL1000,15330489
W1FPL1001,15331809
W1FPL1002,15337724
W1FPL1003,15336432
W1FPL1004,15337067
W1FPL1005,15334485
W1FPL1006,15337413
W1FPL1007,15332321
W1FPL1008,15332230
W1FPL1009,15336624
W1FPL1010,15332716
W1FPL1011,15333159
W1FPL1012,15336248
W1FPL1013,15340048
W1FPL1014,15340083
W1FPL1015,15331669
W1FPL1016,15330870
W1FPL1017,15333533
W1FPL1018,15340143
W1FPL1019,15335538
W1FPL102,15331482
W1FPL1020,15333722
W1FPL1021,15329872
W1FPL1022,15340221
W1FPL1023,15338197
W1FPL1024,15334810
W1FPL1025,15334531
W1FPL10254,15333739
W1FPL1026,15329658
W1FPL1027,15339261
W1FPL1028,15336998
W1FPL1029,15337576
W1FPL103,15330005
W1FPL1030,15337224
W1FPL1031,15333294
W1FPL1032,15334175
W1FPL1033,15329715
W1FPL1034,15329617
W1FPL1035,15332994
W1FPL1036,15337437
W1FPL1037,15337619
W1FPL1038,15336464
W1FPL1039,15338139
W1FPL104,15338464
W1FPL1040,15337979
W1FPL1041,15337773
W1FPL1042,15333008
W1FPL1043,15329964
W1FPL1044,15338285
W1FPL10448,15334778
W1FPL1045,15339375
W1FPL1046,15334245
W1FPL1047,15334790
W1FPL1048,15332954
W1FPL1049,15337862
W1FPL1050,15338071
W1FPL1051,15336128
W1FPL1054,15340166
W1FPL1055,15340154
W1FPL1056,15338030
W1FPL1057,15330830
W1FPL1058,15335626
W1FPL1059,15339559
W1FPL1060,15333834
W1FPL1061,15337587
W1FPL1062,15333685
W1FPL1063,15333422
W1FPL1064,15339666
W1FPL1065,15334817
W1FPL1066,15332842
W1FPL1067,15337153
W1FPL1068,15335748
W1FPL1069,15340037
W1FPL107,15332144
W1FPL1070,15330618
W1FPL1071,15336795
W1FPL1072,15337069
W1FPL1073,15338244
W1FPL1074,15334533
W1FPL1075,15330154
W1FPL1076,15338693
W1FPL1077,15333637
W1FPL1078,15330526
W1FPL1079,15335292
W1FPL108,15335808
W1FPL1080,15333759
W1FPL1081,15338299
W1FPL1082,15333454
W1FPL1083,15331187
W1FPL1084,15332371
W1FPL1085,15337594
W1FPL1086,15330343
W1FPL1087,15335901
W1FPL1088,15337382
W1FPL1089,15336614
W1FPL109,15332529
W1FPL1090,15330435
W1FPL1091,15330279
W1FPL1092,15336191
W1FPL1093,15336199
W1FPL1094,15330907
W1FPL1095,15336484
W1FPL1096,15335178
W1FPL1097,15337801
W1FPL1098,15337423
W1FPL1099,15331821
W1FPL11,15335838
W1FPL110,15336708
W1FPL1100,15340036
W1FPL1101,15334599
W1FPL1102,15330894
W1FPL1103,15337485
W1FPL1104,15332851
W1FPL1105,15330962
W1FPL1106,15339735
W1FPL1107,15335410
W1FPL1108,15331472
W1FPL1109,15330573
W1FPL111,15332543
W1FPL1110,15335475
W1FPL1111,15332408
W1FPL1112,15335583
W1FPL1113,15334243
W1FPL1114,15332809
W1FPL1115,15337676
W1FPL1116,15331181
W1FPL1117,15340248
W1FPL1118,15337764
W1FPL1119,15336360
W1FPL112,15339987
W1FPL1120,15338369
W1FPL1121,15338094
W1FPL1122,15331767
W1FPL1123,15330631
W1FPL1124,15334052
W1FPL1125,15332522
W1FPL1126,15331179
W1FPL1127,15334198
W1FPL1128,15333581
W1FPL1129,15331263
W1FPL113,15339219
W1FPL1130,15330823
W1FPL1131,15336483
W1FPL1132,15330355
W1FPL1133,15334247
W1FPL1134,15340267
W1FPL1135,15331197
W1FPL1136,15339212
W1FPL1137,15336362
W1FPL1138,15333639
W1FPL1139,15335735
W1FPL114,15340053
W1FPL1140,15339689
W1FPL1141,15338910
W1FPL1142,15333146
W1FPL1143,15338612
W1FPL1144,15339873
W1FPL1145,15339256
W1FPL1146,15332531
W1FPL1147,15330973
W1FPL1148,15333420
W1FPL1149,15338046
W1FPL115,15337007
W1FPL1150,15331926
W1FPL1151,15334112
W1FPL1152,15336036
W1FPL1153,15329707
W1FPL1154,15332105
W1FPL1155,15339285
W1FPL1156,15336618
W1FPL1157,15332050
W1FPL1158,15334571
W1FPL1159,15330837
W1FPL116,15334480
W1FPL1160,15333322
W1FPL1161,15335915
W1FPL117,15338006
W1FPL119,15338207
W1FPL1203,15329981
W1FPL121,15337616
W1FPL122,15340199
W1FPL123,15332846
W1FPL1230,15336584
W1FPL1233,15338085
W1FPL1236,15332556
W1FPL124,15329990
W1FPL126,15332969
W1FPL127,15336636
W1FPL128,15331875
W1FPL129,15338965
W1FPL13,15335623
W1FPL130,15331634
W1FPL1308,15338903
W1FPL131,15336629
W1FPL132,15332090
W1FPL133,15338287
W1FPL134,15334295
W1FPL135,15338713
W1FPL136,15332852
W1FPL138,15338855
W1FPL139,15338912
W1FPL1404,15332965
W1FPL141,15332489
W1FPL142,15339596
W1FPL143,15330424
W1FPL144,15335550
W1FPL1440,15337249
W1FPL145,15339627
W1FPL146,15333693
W1FPL1467,15331608
W1FPL147,15339088
W1FPL149,15340029
W1FPL15,15338097
W1FPL150,15336563
W1FPL151,15329446
W1FPL152,15329530
W1FPL1524,15335896
W1FPL154,15338909
W1FPL155,15333592
W1FPL1550,15340207
W1FPL1572,15340194
W1FPL158,15333690
W1FPL1580,15336897
W1FPL1589,15331899
W1FPL159,15329533
W1FPL16,15330790
W1FPL161,15337530
W1FPL162,15333898
W1FPL163,15335815
W1FPL164,15329725
W1FPL165,15336948
W1FPL1651,15336037
W1FPL1657,15337605
W1FPL167,15331058
W1FPL168,15332893
W1FPL169,15336873
W1FPL17,15336522
W1FPL170,15335762
W1FPL171,15330057
W1FPL1711,15333153
W1FPL172,15335077
W1FPL173,15339226
W1FPL1736,15335036
W1FPL175,15330434
W1FPL176,15333144
W1FPL177,15338554
W1FPL1778,15337521
W1FPL179,15338640
W1FPL1798,15338309
W1FPL1799,15331394
W1FPL180,15334873
W1FPL181,15336310
W1FPL1814,15338970
W1FPL182,15339146
W1FPL1829,15336811
W1FPL183,15339471
W1FPL184,15332499
W1FPL185,15338258
W1FPL186,15335988
W1FPL1868,15332081
W1FPL187,15336994
W1FPL188,15332745
W1FPL1885,15339902
W1FPL189,15340066
W1FPL19,15333814
W1FPL190,15337446
W1FPL191,15336553
W1FPL192,15329957
W1FPL193,15332596
W1FPL194,15332839
W1FPL1944,15334656
W1FPL195,15336616
W1FPL1952,15334789
W1FPL1953,15336212
W1FPL1954,15330668
W1FPL1955,15340129
W1FPL196,15333409
W1FPL198,15336463
W1FPL1982,15331878
W1FPL199,15339785
W1FPL2,15334121
W1FPL20,15333342
W1FPL200,15335593
W1FPL201,15339013
W1FPL202,15338444
W1FPL2025,15336693
W1FPL203,15339837
W1FPL2034,15334002
W1FPL204,15336109
W1FPL205,15340222
W1FPL206,15334691
W1FPL207,15334805
W1FPL208,15340153
W1FPL209,15333493
W1FPL21,15330478
W1FPL210,15333205
W1FPL211,15338946
W1FPL212,15337567
W1FPL2128,15335586
W1FPL213,15336930
W1FPL214,15336554
W1FPL215,15334193
W1FPL216,15337488
W1FPL217,15335980
W1FPL218,15332977
W1FPL219,15338140
W1FPL22,15337644
W1FPL220,15337993
W1FPL2206,15339096
W1FPL2209,15336323
W1FPL221,15338076
