set|hollis-id|title|locator|pub|author|isbn|tbrc-rid
tibetan.dlc.xml|000314503-4|Bkah thaṅ sde lṅa /[Gu-ru O-rgyan-gliṅ-pa].|82905497 /SA/r94|New Delhi :International Academy of Indian Culture,1982.|O-rgyan-gliṅ-pa,Gter-ston,1323-||
tibetan.dlc.xml|000317383-6|Biography of Dam-tshig-rdo-rje /[Mkhan-miṅ-pa Rabʾbyams-pa Skal-bzaṅ-ye-śes].|82904171 /SA|New Delhi :Sharada Rani,1982.|Skal-bzaṅ-ye-śes,Mkhan-po.||
tibetan.dlc.xml|000317384-4|Indian scripts in Tibet /reproduced by Lokesh Chandra from the collection of Prof. Raghuvira.|82903577|New Delhi :Sharada Rani,1982.|||W30268
tibetan.dlc.xml|000320067-1|A catalogue of the United States Library of Congress collection of Tibetan literature in microfiche /Musashi Tachikawa, in collaboration with Tshulkrim Kelsang and Shunzo Onoda.|83213537|Tokyo :International Institute for Buddhist Studies,1983-1988.|Tachikawa, Musashi.|0490267149 (v. 2)|
tibetan.dlc.xml|000320717-X|Catalogue of the Narthang Kanjur.|85902286|New Delhi :International Academy of Indian Culture,1983.|||
tibetan.dlc.xml|000320718-8|Catalogue of the Lhasa Kanjur.|83906484 /SA|New Delhi :International Academy of Indian Culture,1983.|||
tibetan.dlc.xml|000323485-1|Rab tu 'byuṅ ba'i gži :die tibetische Übersetzung des Pravrajyāvastu im Vinaya der Mūlasarvāstivādins /nach Vorarbeiten von Frank-Richard Hamm und weiteren Materialien herausgegeben durch Helmut Eimer.|85128328|Wiesbaden :Otto Harrassowitz,1983.||3447022906 (set)|
tibetan.dlc.xml|000587599-4|The Tibetan text of the Pratyutpanna-Buddha-Saṃmukhāvasthita-Samādhi-Sūtra /critically edited from the Derge, Narthang, Peking and Lhasa editions of the Tibetan Kanjur and accompanied by a Concordance and Comparative Table of Chapters of the Tibetan and Chinese version [by] Paul M. Harrison.|81130381 /SA|Tokyo :Reiyukai Library,1978.|||
tibetan.dlc.xml|000619881-3|Gar-źa-ba Dṅos-grub kyis mdzad paʾi ñe sgyur ñi śu pa =Viṃśati : Saṃbhoṭa upasarga prakriyā /Ke. Aṅgarūpa Lāhulī.|86901447|Sāranātha, Vārāṇasī :Kendrīya Ucca Tibbatī-Śikshā-Saṃsthāna,1985.|Dṅos-grub,Gar-źa-ba.||
tibetan.dlc.xml|000633997-2|Amarakoṣa and its Tibetan translation, ʾChi med mdzod :a metrical dictionary of the Sanskrit language by Amarasiṃha with its Tibetan translation made by Mahāpaṇḍita Kīrticandra and Yar-luṅs Lo-tsā-ba Grags-pa-rgyal-mtshan /edited by Satis Chandra Vidyābhūṣaṇa.|85900322 /SA/r89|Gangtok :Sherab Gyaltsen Lama,1984.|Amarasiṃha.||
tibetan.dlc.xml|000740636-3|The ocean annals of Amdo =Yul-mdo-smad-kyi ljoṅs-su Thub-bstan rin-po-che ji-ltar dar-baḥi tshul gsal-bar brjod-pa deb-ther rgya-mtsho /written by Brag-dgon Zhabs-druṅ Dkon-mchog-bstan-pa-rab-rgyas ; reproduced by Lokesh Chandra.|76900482 /SA/r84|New Delhi :Sharada Rani,1975-1977.|Dkon-mchog-bstan-pa-rab-rgyas,Brag-dgon Źabs-druṅ,1801-||
tibetan.dlc.xml|000773286-4|Rare Bonpo texts belonging to the Abhidharma and Sñan rgyud rig pa gcer mthoṅ cycles.|76903106 /SA|Dolanji, H.P. :Tashi Dorji :distributor, Tibetan Bonpo Monastic Centre,1976.|||
tibetan.dlc.xml|001016303-4|A catalogue of the Urga Kanjur in the Prof. Raghuvira collection at the International Academy of Indian Culture /Geza Bethlenfalvy.|80901147 /SA/r864|New Delhi :International Academy of Indian Culture,1980.|||
tibetan.dlc.xml|001070593-7|The collected works of Dalai Lama XIII.|82900143 /SA|New Delhi :International Aademy of Indian Culture,1981-|Thub-bstan-rgya-mtsho,Dalai Lama XIII,1876-1933.||
tibetan.dlc.xml|001128225-8|The blue annals /completed in A.D. 1478 by Ḥg̣os-Lotsawa Gzhon-nu dpal.|75900107 /SA/r872|New Delhi :International Academy of Indian Culture,1974.|ʾGos Lo-tsā-ba Gźon-nu-dpal,1392-1481.||
