object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
444930853,W1PD96682-I1PD96864,"urn-3:FHCL:37075873, urn-3:HUL.DRS.OBJECT:37075872",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1PD96682-5,449685,2018-06-04T15:37:47.0Z,FHCL.COLL_batchW1PD96682-5_20180516_214131,1069,,R,"bka' 'gyur/ （dpe bsdur ma/）, bka' 'gyur dpe bsdur ma, bka' 'gyur, 甘珠尔(对勘本）, 中华大藏经甘珠尔（对勘本）, zhong hua da zang jing gan zhu er (dui kuan ben)",Tibetan Buddhist Resource Center,943648055
444933258,W1PD96682-I1PD96865,"urn-3:FHCL:37075883, urn-3:HUL.DRS.OBJECT:37075882",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1PD96682-5,449685,2018-06-04T15:37:47.0Z,FHCL.COLL_batchW1PD96682-5_20180516_214131,854,,R,"bka' 'gyur/ （dpe bsdur ma/）, bka' 'gyur dpe bsdur ma, bka' 'gyur, 甘珠尔(对勘本）, 中华大藏经甘珠尔（对勘本）, zhong hua da zang jing gan zhu er (dui kuan ben)",Tibetan Buddhist Resource Center,759947104
444935966,W1PD96682-I1PD96866,"urn-3:FHCL:37075891, urn-3:HUL.DRS.OBJECT:37075890",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1PD96682-5,449685,2018-06-04T15:37:47.0Z,FHCL.COLL_batchW1PD96682-5_20180516_214131,1132,,R,"bka' 'gyur/ （dpe bsdur ma/）, bka' 'gyur dpe bsdur ma, bka' 'gyur, 甘珠尔(对勘本）, 中华大藏经甘珠尔（对勘本）, zhong hua da zang jing gan zhu er (dui kuan ben)",Tibetan Buddhist Resource Center,1277989552
444938424,W1PD96682-I1PD96867,"urn-3:FHCL:37075903, urn-3:HUL.DRS.OBJECT:37075902",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1PD96682-5,449685,2018-06-04T15:37:47.0Z,FHCL.COLL_batchW1PD96682-5_20180516_214131,824,,R,"bka' 'gyur/ （dpe bsdur ma/）, bka' 'gyur dpe bsdur ma, bka' 'gyur, 甘珠尔(对勘本）, 中华大藏经甘珠尔（对勘本）, zhong hua da zang jing gan zhu er (dui kuan ben)",Tibetan Buddhist Resource Center,903006939
444940600,W1PD96682-I1PD96868,"urn-3:FHCL:37075911, urn-3:HUL.DRS.OBJECT:37075910",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1PD96682-5,449685,2018-06-04T15:37:47.0Z,FHCL.COLL_batchW1PD96682-5_20180516_214131,854,,R,"bka' 'gyur/ （dpe bsdur ma/）, bka' 'gyur dpe bsdur ma, bka' 'gyur, 甘珠尔(对勘本）, 中华大藏经甘珠尔（对勘本）, zhong hua da zang jing gan zhu er (dui kuan ben)",Tibetan Buddhist Resource Center,789525541
444944138,W1PD96682-I1PD96869,"urn-3:FHCL:37075919, urn-3:HUL.DRS.OBJECT:37075918",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1PD96682-5,449685,2018-06-04T15:37:47.0Z,FHCL.COLL_batchW1PD96682-5_20180516_214131,964,,R,"bka' 'gyur/ （dpe bsdur ma/）, bka' 'gyur dpe bsdur ma, bka' 'gyur, 甘珠尔(对勘本）, 中华大藏经甘珠尔（对勘本）, zhong hua da zang jing gan zhu er (dui kuan ben)",Tibetan Buddhist Resource Center,1168835708
444946442,W1PD96682-I1PD96870,"urn-3:FHCL:37075925, urn-3:HUL.DRS.OBJECT:37075924",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1PD96682-5,449685,2018-06-04T15:37:47.0Z,FHCL.COLL_batchW1PD96682-5_20180516_214131,933,,R,"bka' 'gyur/ （dpe bsdur ma/）, bka' 'gyur dpe bsdur ma, bka' 'gyur, 甘珠尔(对勘本）, 中华大藏经甘珠尔（对勘本）, zhong hua da zang jing gan zhu er (dui kuan ben)",Tibetan Buddhist Resource Center,884501573
444949353,W1PD96682-I1PD96871,"urn-3:FHCL:37075933, urn-3:HUL.DRS.OBJECT:37075932",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1PD96682-5,449685,2018-06-04T15:37:47.0Z,FHCL.COLL_batchW1PD96682-5_20180516_214131,1084,,R,"bka' 'gyur/ （dpe bsdur ma/）, bka' 'gyur dpe bsdur ma, bka' 'gyur, 甘珠尔(对勘本）, 中华大藏经甘珠尔（对勘本）, zhong hua da zang jing gan zhu er (dui kuan ben)",Tibetan Buddhist Resource Center,1335299609
444952469,W1PD96682-I1PD96872,"urn-3:FHCL:37075947, urn-3:HUL.DRS.OBJECT:37075946",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1PD96682-5,449685,2018-06-04T15:37:47.0Z,FHCL.COLL_batchW1PD96682-5_20180516_214131,824,,R,"bka' 'gyur/ （dpe bsdur ma/）, bka' 'gyur dpe bsdur ma, bka' 'gyur, 甘珠尔(对勘本）, 中华大藏经甘珠尔（对勘本）, zhong hua da zang jing gan zhu er (dui kuan ben)",Tibetan Buddhist Resource Center,1018500983
444954606,W1PD96682-I1PD96873,"urn-3:FHCL:37075955, urn-3:HUL.DRS.OBJECT:37075954",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1PD96682-5,449685,2018-06-04T15:37:47.0Z,FHCL.COLL_batchW1PD96682-5_20180516_214131,981,,R,"bka' 'gyur/ （dpe bsdur ma/）, bka' 'gyur dpe bsdur ma, bka' 'gyur, 甘珠尔(对勘本）, 中华大藏经甘珠尔（对勘本）, zhong hua da zang jing gan zhu er (dui kuan ben)",Tibetan Buddhist Resource Center,960805719
